;score;review
3694;0;Why not Spanish ???: Alguien me puede decir porque la serie Three's Company no viene ni con audio ni con subtitulos en ESPAÑOL.Esta serie fue vista a nivel mundial, si casi todas las series que salen en dvd con varios idiomas que paso con esta si es una de las mejores de todos los tiempos.Una comedia excelente y unica deberian de haber tomado en cuenta aca en mi pais la dieron con audio en español, donde quedo eso ???.Ahora si viene en audio ESPAÑOL o por lo menos subtitulo pido mil disculpas pero no dice por ningun lado en la descripcion del producto.SALUDOS\r\n
4820;1;La mejor película de Moore: A mi juicio, esta es la mejor comedia de Dudley Moore.El reparto es excelente.Realmente la recomiendo.\r\n
4914;0;De la poudre aux yeux: J'ai acheté un Sansa View 16gB pour $200 CAD il y a deux ans et demie à peine, et la batterie vient de mourrir. L'estimation pour la réparation et le remplecement de la batteire est de $80 minimum, vous voyez le topo? Malgré son excellente sonorité, je ne recommande pas cet appareil, difficile à comprendre, parfois il gèle... à éviter!\r\n
5720;1;"C'est magnifique! il y a du vrai dans ce qui'l dit.: Il y a des temps que Mr. Coello nous avons donné une histoire de honor et de mystère. Cet histoire étre publié en different langues. Je l'ai li en anglais et en franais seulement. La histoire rendu étai fidèle, excellent, et grand. Il raconte du rve de un bon garon que cherche le monde pour trouver un inconnu trésor. Il l'a réussi...mais... Je suis certain qui il a trouvé deux trésors... voila! vous devez lire la histoire maintenant pour découvrir le mystére; s'il vous plait.\r\n"
5875;1;Erreur: Les Triplettes de Belleville n'a pas reu le Jutra de la meilleure bande sonore, puisqu'il n'était pas en nomination. Gaz Bar Blues l'a remporté.\r\n
5901;1;Buen cargador: Product very good, I am of Venezuela the exelente product thanks(Producto muy buenos, soy de venezuela el producto exelente gracias)\r\n
6234;1;5+ stars. LO MEJOR DE LO QUE HE LEIDO EN MI VIDA.: Un resúmen:El clan del oso cavernario: EXCELENTE, INSPIRADOR.Un libro para leer y releer, es como un libro de superación personal, pero sin los aburridos consejos sabiondos de los autores, ni las falsas promesas de los nuevos autores llamados new age. DEBE LEERLO, Y POR FAVOR, NO LO PRESTE.....!El valle de los caballos: BUENA SECUELA, RECOMENDABLE.Los cazadores del mamut: SOLO PARA FANS.El libro de los viajes (Plains): REPETITIVO, LENTO Y ABURRIDO EN DOS TERCERAS PARTES (LA'ÚLTIMA PARTE, COMO EN cazadores, PARA FANS).....LA ESPERANZA....The Shelter of stone...donde los que admiramos a Ayla, esperamos reencontrarnos con ella...\r\n
6631;0;certains bugs viennent tout gacher: le jeu est bon mais comporte des bugs sur xbox live , les statistiques ne sont pas compiliees correctement sur xbox live. on perd la connection de temps a autre et une deconnection compte parfois pour une defaite... bon jeu a 1 joueur mais pas fort sur le live...\r\n
7078;1;Variedad: Bueno tener este album debido a su sonido peculiar, algunas de sus canciones hasta fueron programadas aca en la radio en Guanatos...es + el Kala (Rostros Ocultos) se encargó de hacer un cover el cual fue un exito en español - con los Smithreens nunca lo fue - (Tiempo de Cambiar o Something New). Saludos de neta. Mork\r\n
7307;0;Disappointing. Does not deserve to be a 'classic': Length:: 3:49 MinsFahrenheit 451Fahrenheit 451: A Novel\r\n
7888;0;Ich weiß ja nicht !: Also ich finde es ja toll, dass ein deutscher Film in den USA so gut ankommt, aber ich habe ihn bei uns in Deutschland im Kino gesehen und dachte mir wie lange rennt die denn noch und warum rennt die schon wieder. Mein Freundin fand den Film aber echt klasse. Von den vier Leuten die wir waren gibt einer 5 Sterne, 2 geben drei Sterne und ich gebe dem Film 2 Sterne. Würde ihn mir aber niemals auf DVD oder Video kaufen.\r\n
7983;1;1F4T: Cet album est chanté vraiment bien. Jean-Jacques et les autres types ont bien fait! Les chansons sont pas forte en vocales, mais les paroles sont très très émouvantes. Surtout Rien n'est vraiment fini. Je Lui Dirai, c'est le fun. Son premier 45 Tout L'Or Des Hommes place le feeling pour le reste de l'album. C'est super, a! Achète l'album! a vaut l'argent!\r\n
8018;1;Exelente eleccion: Los mejores zapatos de futbol que he comprado en mi vida, funcionan perfecto para cesped artifical, cesped natural y piso duro.Lo recomiendo 100%\r\n
8340;1;Jean de Florette et Manon des sources: bien aimé ses deux films et aimerais les acheté si vous pouvié me les faires parvenire. Jean de Florette et Manon des sources en dvd. merci a vous.attend une réponse de vous.\r\n
9265;1;Excelente: Manu es una de los mejores cantantes del Operacion Triunfo.Aunque la musica es un poco 'easy listening', este CD es su premera y Manu la hace muy bien y no se falta su voz. Me encanta este chico y creo que el va a hacer mucho mas.\r\n
9422;0;DVD CON PROBLEMAS: ESTE DVD LLEGO EN BUEN TIEMPO. SIN EMBARGO, SE FREEZA EN LA CANCION NUMERO 1 INTERPRETADA POR VICTOR MANUEL, UNA DE LAS MEJORES.\r\n
9624;0;baaaaaadddddddd bookkkkkkk: por favor no gaste su dinero en este pesimo y mediocre libro,,lo unico que la mujer y el chino hacen es mostrar su impresionante flexibilidad,pero nada mas,,no aportan tecnicas reales ni explicaciones para llegar a ese estado.me parece mas bien que los autores lo que quieren es que la gente sepa que ellos tienen una super-flexibilidad impresionante.este es solamente un librito y nada mas,, muy,,muy pero muy mediocre\r\n
