;cust_id;birth_date;age;acct_amount;inv_amount;fund_A;fund_B;fund_C;fund_D;account_opened;last_transaction
86;9B550FD5;30/1/1974;46;32891.31;11991;7938;3077;;805;171;2/5/2018;27/6/2019
87;5F6A2443;6/3/1968;52;98047.16;76215;25087;10060;;21893;19175;15/12/2018;12/11/2019
88;D5536652;3/4/1967;53;86506.85;81920;28722;29798;;6572;16828;21/1/2018;14/1/2019
89;C580AE41;1/6/1968;52;96673.37;68466;8489.36;28592;;2439;30419;28/9/2018;17/9/2018
90;56D310A8;9/11/1984;36;88660.4;62307;40694;15792;;5342;479;25/2/2018;29/7/2018
91;87FDF627;5/4/1974;46;95275.46;55887;2360;25434;;21229;6864;26/2/2019;25/6/2018
92;A07D5C92;20/9/1990;30;99577.36;60407;6467;20861;;9861;26004.16;17/11/2017;16/1/2020
93;B6F69B7A;26/8/1963;57;92007.12;22052;1734;12765;;3236;4317;29/7/2018;10/2/2020
94;A731C34E;3/6/1961;59;95352.02;84065;12061;15742;;35725;20537;13/11/2017;13/1/2019
95;CA507BA1;10/8/1974;46;12209.84;7515;190;931;;1451;4943;26/5/2018;11/9/2019
96;B99CD662;12/12/1989;31;92838.44;49089;2453;7892;;31486;7258;4/5/2017;12/3/2019
97;13770971;29/11/1984;36;92750.87;27962;3352;7547;;8486;8577;16/8/2017;24/4/2019
98;93E78DA3;14/12/1969;51;41942.23;29662;1758;11174;;11650;5080;9/10/2017;15/4/2018
99;AC91D689;18/5/1993;27;99490.61;32149;2184;17918;;6714;5333;1/8/2017;4/8/2019
