,total_bill,tip,sex,smoker,day,time,size,grand_total,double_tip,grand_total_double_tip
146,18.64,1.36,Female,No,Thur,Lunch,3,20.0,2.72,21.36
147,11.87,1.63,Female,No,Thur,Lunch,2,13.5,3.26,15.129999999999999
148,9.78,1.73,Male,No,Thur,Lunch,2,11.51,3.46,13.239999999999998
149,7.51,2.0,Male,No,Thur,Lunch,2,9.51,4.0,11.51
150,14.07,2.5,Male,No,Sun,Dinner,2,16.57,5.0,19.07
151,13.13,2.0,Male,No,Sun,Dinner,2,15.13,4.0,17.130000000000003
152,17.26,2.74,Male,No,Sun,Dinner,3,20.0,5.48,22.740000000000002
153,24.55,2.0,Male,No,Sun,Dinner,4,26.55,4.0,28.55
154,19.77,2.0,Male,No,Sun,Dinner,4,21.77,4.0,23.77
155,29.85,5.14,Female,No,Sun,Dinner,5,34.99,10.28,40.13
156,48.17,5.0,Male,No,Sun,Dinner,6,53.17,10.0,58.17
157,25.0,3.75,Female,No,Sun,Dinner,4,28.75,7.5,32.5
158,13.39,2.61,Female,No,Sun,Dinner,2,16.0,5.22,18.61
159,16.49,2.0,Male,No,Sun,Dinner,4,18.49,4.0,20.49
160,21.5,3.5,Male,No,Sun,Dinner,4,25.0,7.0,28.5
161,12.66,2.5,Male,No,Sun,Dinner,2,15.16,5.0,17.66
162,16.21,2.0,Female,No,Sun,Dinner,3,18.21,4.0,20.21
163,13.81,2.0,Male,No,Sun,Dinner,2,15.81,4.0,17.810000000000002
164,17.51,3.0,Female,Yes,Sun,Dinner,2,20.51,6.0,23.51
165,24.52,3.48,Male,No,Sun,Dinner,3,28.0,6.96,31.48
166,20.76,2.24,Male,No,Sun,Dinner,2,23.0,4.48,25.240000000000002
167,31.71,4.5,Male,No,Sun,Dinner,4,36.21,9.0,40.71
168,10.59,1.61,Female,Yes,Sat,Dinner,2,12.2,3.22,13.81
169,10.63,2.0,Female,Yes,Sat,Dinner,2,12.63,4.0,14.63
170,50.81,10.0,Male,Yes,Sat,Dinner,3,60.81,20.0,70.81
171,15.81,3.16,Male,Yes,Sat,Dinner,2,18.97,6.32,22.130000000000003
172,7.25,5.15,Male,Yes,Sun,Dinner,2,12.4,10.3,17.55
173,31.85,3.18,Male,Yes,Sun,Dinner,2,35.03,6.36,38.21
174,16.82,4.0,Male,Yes,Sun,Dinner,2,20.82,8.0,24.82
175,32.9,3.11,Male,Yes,Sun,Dinner,2,36.01,6.22,39.12
176,17.89,2.0,Male,Yes,Sun,Dinner,2,19.89,4.0,21.89
177,14.48,2.0,Male,Yes,Sun,Dinner,2,16.48,4.0,18.48
178,9.6,4.0,Female,Yes,Sun,Dinner,2,13.6,8.0,17.6
179,34.63,3.55,Male,Yes,Sun,Dinner,2,38.18,7.1,41.730000000000004
180,34.65,3.68,Male,Yes,Sun,Dinner,4,38.33,7.36,42.01
181,23.33,5.65,Male,Yes,Sun,Dinner,2,28.979999999999997,11.3,34.629999999999995
182,45.35,3.5,Male,Yes,Sun,Dinner,3,48.85,7.0,52.35
183,23.17,6.5,Male,Yes,Sun,Dinner,4,29.67,13.0,36.17
184,40.55,3.0,Male,Yes,Sun,Dinner,2,43.55,6.0,46.55
185,20.69,5.0,Male,No,Sun,Dinner,5,25.69,10.0,30.69
186,20.9,3.5,Female,Yes,Sun,Dinner,3,24.4,7.0,27.9
187,30.46,2.0,Male,Yes,Sun,Dinner,5,32.46,4.0,34.46
188,18.15,3.5,Female,Yes,Sun,Dinner,3,21.65,7.0,25.15
189,23.1,4.0,Male,Yes,Sun,Dinner,3,27.1,8.0,31.1
190,15.69,1.5,Male,Yes,Sun,Dinner,2,17.189999999999998,3.0,18.689999999999998
191,19.81,4.19,Female,Yes,Thur,Lunch,2,24.0,8.38,28.189999999999998
192,28.44,2.56,Male,Yes,Thur,Lunch,2,31.0,5.12,33.56
193,15.48,2.02,Male,Yes,Thur,Lunch,2,17.5,4.04,19.52
194,16.58,4.0,Male,Yes,Thur,Lunch,2,20.58,8.0,24.58
195,7.56,1.44,Male,No,Thur,Lunch,2,9.0,2.88,10.44
196,10.34,2.0,Male,Yes,Thur,Lunch,2,12.34,4.0,14.34
197,43.11,5.0,Female,Yes,Thur,Lunch,4,48.11,10.0,53.11
198,13.0,2.0,Female,Yes,Thur,Lunch,2,15.0,4.0,17.0
199,13.51,2.0,Male,Yes,Thur,Lunch,2,15.51,4.0,17.509999999999998
200,18.71,4.0,Male,Yes,Thur,Lunch,3,22.71,8.0,26.71
201,12.74,2.01,Female,Yes,Thur,Lunch,2,14.75,4.02,16.759999999999998
202,13.0,2.0,Female,Yes,Thur,Lunch,2,15.0,4.0,17.0
203,16.4,2.5,Female,Yes,Thur,Lunch,2,18.9,5.0,21.4
204,20.53,4.0,Male,Yes,Thur,Lunch,4,24.53,8.0,28.53
205,16.47,3.23,Female,Yes,Thur,Lunch,3,19.7,6.46,22.93
206,26.59,3.41,Male,Yes,Sat,Dinner,3,30.0,6.82,33.41
207,38.73,3.0,Male,Yes,Sat,Dinner,4,41.73,6.0,44.73
208,24.27,2.03,Male,Yes,Sat,Dinner,2,26.3,4.06,28.33
209,12.76,2.23,Female,Yes,Sat,Dinner,2,14.99,4.46,17.22
210,30.06,2.0,Male,Yes,Sat,Dinner,3,32.06,4.0,34.06
211,25.89,5.16,Male,Yes,Sat,Dinner,4,31.05,10.32,36.21
212,48.33,9.0,Male,No,Sat,Dinner,4,57.33,18.0,66.33
213,13.27,2.5,Female,Yes,Sat,Dinner,2,15.77,5.0,18.27
214,28.17,6.5,Female,Yes,Sat,Dinner,3,34.67,13.0,41.17
215,12.9,1.1,Female,Yes,Sat,Dinner,2,14.0,2.2,15.100000000000001
216,28.15,3.0,Male,Yes,Sat,Dinner,5,31.15,6.0,34.15
217,11.59,1.5,Male,Yes,Sat,Dinner,2,13.09,3.0,14.59
218,7.74,1.44,Male,Yes,Sat,Dinner,2,9.18,2.88,10.620000000000001
219,30.14,3.09,Female,Yes,Sat,Dinner,4,33.230000000000004,6.18,36.32
220,12.16,2.2,Male,Yes,Fri,Lunch,2,14.36,4.4,16.560000000000002
221,13.42,3.48,Female,Yes,Fri,Lunch,2,16.9,6.96,20.38
222,8.58,1.92,Male,Yes,Fri,Lunch,1,10.5,3.84,12.42
223,15.98,3.0,Female,No,Fri,Lunch,3,18.98,6.0,21.98
224,13.42,1.58,Male,Yes,Fri,Lunch,2,15.0,3.16,16.58
225,16.27,2.5,Female,Yes,Fri,Lunch,2,18.77,5.0,21.27
226,10.09,2.0,Female,Yes,Fri,Lunch,2,12.09,4.0,14.09
227,20.45,3.0,Male,No,Sat,Dinner,4,23.45,6.0,26.45
228,13.28,2.72,Male,No,Sat,Dinner,2,16.0,5.44,18.72
229,22.12,2.88,Female,Yes,Sat,Dinner,2,25.0,5.76,27.880000000000003
230,24.01,2.0,Male,Yes,Sat,Dinner,4,26.01,4.0,28.01
231,15.69,3.0,Male,Yes,Sat,Dinner,3,18.689999999999998,6.0,21.689999999999998
232,11.61,3.39,Male,No,Sat,Dinner,2,15.0,6.78,18.39
233,10.77,1.47,Male,No,Sat,Dinner,2,12.24,2.94,13.709999999999999
234,15.53,3.0,Male,Yes,Sat,Dinner,2,18.53,6.0,21.53
235,10.07,1.25,Male,No,Sat,Dinner,2,11.32,2.5,12.57
236,12.6,1.0,Male,Yes,Sat,Dinner,2,13.6,2.0,14.6
237,32.83,1.17,Male,Yes,Sat,Dinner,2,34.0,2.34,35.17
238,35.83,4.67,Female,No,Sat,Dinner,3,40.5,9.34,45.17
239,29.03,5.92,Male,No,Sat,Dinner,3,34.95,11.84,40.870000000000005
240,27.18,2.0,Female,Yes,Sat,Dinner,2,29.18,4.0,31.18
241,22.67,2.0,Male,Yes,Sat,Dinner,2,24.67,4.0,26.67
242,17.82,1.75,Male,No,Sat,Dinner,2,19.57,3.5,21.32
243,18.78,3.0,Female,No,Thur,Dinner,2,21.78,6.0,24.78
