,country,year,life_expectancy
2015,Sierra Leone,1801,25.1
2016,Singapore,1801,29.1
2017,Slovak Republic,1801,36.4
2018,Slovenia,1801,36.6
2019,Solomon Islands,1801,25.1
2020,Somalia,1801,29.4
2021,Somaliland,1801,0.0
2022,South Africa,1801,33.5
2023,South Korea,1801,25.8
2024,South Ossetia,1801,0.0
2025,South Sudan,1801,26.67
2026,South Yemen (former),1801,0.0
2027,Spain,1801,29.5
2028,Sri Lanka,1801,32.6
2029,St. Barthélemy,1801,0.0
2030,St. Helena,1801,0.0
2031,St. Kitts and Nevis,1801,0.0
2032,St. Lucia,1801,28.01
2033,St. Martin,1801,0.0
2034,St. Vincent and the Grenadines,1801,25.99
2035,St.-Pierre-et-Miquelon,1801,0.0
2036,Sudan,1801,31.4
2037,Suriname,1801,32.9
2038,Svalbard,1801,0.0
2039,Swaziland,1801,32.3
2040,Sweden,1801,36.9
2041,Switzerland,1801,38.0
2042,Syria,1801,31.1
2043,Taiwan,1801,28.3
2044,Tajikistan,1801,24.24
2045,Tanzania,1801,32.2
2046,Thailand,1801,30.4
2047,Timor-Leste,1801,28.95
2048,Togo,1801,31.3
2049,Tokelau,1801,0.0
2050,Tonga,1801,28.2
2051,Transnistria,1801,0.0
2052,Trinidad and Tobago,1801,32.9
2053,Tunisia,1801,28.8
2054,Turkey,1801,35.0
2055,Turkmenistan,1801,24.0
2056,Turks and Caicos Islands,1801,0.0
2057,Tuvalu,1801,0.0
2058,USSR,1801,0.0
2059,Uganda,1801,25.3
2060,Ukraine,1801,36.6
2061,United Arab Emirates,1801,30.7
2062,United Kingdom,1801,37.35
2063,"United Korea (former)
",1801,0.0
2064,United States,1801,39.41
2065,Uruguay,1801,32.9
2066,Uzbekistan,1801,26.93
2067,Vanuatu,1801,24.3
2068,Venezuela,1801,32.2
2069,Vietnam,1801,32.0
2070,Virgin Islands (U.S.),1801,33.4
2071,Wallis et Futuna,1801,0.0
2072,West Bank and Gaza,1801,32.1
2073,West Germany,1801,0.0
2074,Western Sahara,1801,34.75
2075,Yemen,1801,23.39
2076,Yugoslavia,1801,0.0
2077,Zambia,1801,32.6
2078,Zimbabwe,1801,33.7
2079,Åland,1801,0.0
3640,Abkhazia,1802,0.0
3641,Afghanistan,1802,28.19
3642,Akrotiri and Dhekelia,1802,0.0
3643,Albania,1802,35.4
3644,Algeria,1802,28.82
3645,American Samoa,1802,0.0
3646,Andorra,1802,0.0
3647,Angola,1802,26.98
3648,Anguilla,1802,0.0
3649,Antigua and Barbuda,1802,33.54
3650,Argentina,1802,33.2
3651,Armenia,1802,34.0
3652,Aruba,1802,34.42
3653,Australia,1802,34.05
3654,Austria,1802,34.4
3655,Azerbaijan,1802,29.17
3656,Bahamas,1802,35.18
3657,Bahrain,1802,30.3
3658,Bangladesh,1802,25.5
3659,Barbados,1802,32.12
3660,Belarus,1802,36.2
3661,Belgium,1802,40.02
3662,Belize,1802,26.5
3663,Benin,1802,31.0
3664,Bermuda,1802,0.0
3665,Bhutan,1802,28.8
3666,Bolivia,1802,33.0
3667,Bosnia and Herzegovina,1802,35.1
3668,Botswana,1802,33.6
3669,Brazil,1802,32.0
3670,British Virgin Islands,1802,0.0
3671,Brunei,1802,29.2
3672,Bulgaria,1802,35.89
3673,Burkina Faso,1802,29.2
3674,Burundi,1802,31.5
3675,Cambodia,1802,35.0
3676,Cameroon,1802,28.75
3677,Canada,1802,39.0
3678,Cape Verde,1802,33.8
3679,Cayman Islands,1802,0.0
3680,Central African Republic,1802,30.0
3681,Chad,1802,30.9
3682,Channel Islands,1802,0.0
3683,Chile,1802,32.0
3684,China,1802,32.0
3685,Christmas Island,1802,0.0
3686,Cocos Island,1802,0.0
3687,Colombia,1802,32.0
3688,Comoros,1802,32.1
3689,"Congo, Dem. Rep.",1802,31.6
3690,"Congo, Rep.",1802,32.7
3691,Cook Is,1802,0.0
3692,Costa Rica,1802,30.21
3693,Cote d'Ivoire,1802,31.16
3694,Croatia,1802,36.1
3695,Cuba,1802,32.45
3696,Cyprus,1802,38.5
3697,Czech Republic,1802,34.95
3698,Czechoslovakia,1802,0.0
3699,Denmark,1802,44.37
3700,Djibouti,1802,29.9
3701,Dominica,1802,0.0
3702,Dominican Republic,1802,29.9
3703,East Germany,1802,0.0
3704,Ecuador,1802,32.9
3705,Egypt,1802,33.0
3706,El Salvador,1802,28.7
3707,Equatorial Guinea,1802,29.8
3708,Eritrea,1802,30.2
3709,Eritrea and Ethiopia,1802,0.0
3710,Estonia,1802,35.26
3711,Ethiopia,1802,29.7
3712,Faeroe Islands,1802,0.0
3713,Falkland Is (Malvinas),1802,0.0
3714,Fiji,1802,26.1
3715,Finland,1802,39.2
3716,France,1802,34.38
3717,French Guiana,1802,30.5
3718,French Polynesia,1802,25.6
3719,Gabon,1802,30.6
3720,Gambia,1802,28.8
3721,Georgia,1802,31.87
3722,Germany,1802,38.37
3723,Ghana,1802,28.0
3724,Gibraltar,1802,0.0
3725,Greece,1802,36.6
3726,Greenland,1802,33.87
3727,Grenada,1802,31.4
3728,Guadeloupe,1802,27.66
3729,Guam,1802,27.5
3730,Guatemala,1802,25.8
3731,Guernsey,1802,0.0
3732,Guinea,1802,29.52
3733,Guinea-Bissau,1802,32.0
3734,Guyana,1802,31.12
3735,Haiti,1802,29.0
3736,Holy See,1802,0.0
3737,Honduras,1802,33.9
3738,"Hong Kong, China",1802,34.9
3739,Hungary,1802,36.0
3740,Iceland,1802,27.62
3741,India,1802,25.0
3742,Indonesia,1802,30.0
3743,Iran,1802,25.6
3744,Iraq,1802,31.2
3745,Ireland,1802,38.3
3746,Isle of Man,1802,0.0
3747,Israel,1802,32.0
3748,Italy,1802,29.69
3749,Jamaica,1802,34.2
3750,Japan,1802,36.4
3751,Jersey,1802,0.0
3752,Jordan,1802,31.7
3753,Kazakhstan,1802,26.2
3754,Kenya,1802,25.5
3755,Kiribati,1802,24.9
3756,Kosovo,1802,0.0
3757,Kuwait,1802,26.0
3758,Kyrgyz Republic,1802,23.94
3759,Lao,1802,31.9
3760,Latvia,1802,33.0
3761,Lebanon,1802,29.7
3762,Lesotho,1802,32.8
3763,Liberia,1802,31.1
3764,Libya,1802,33.1
3765,Liechtenstein,1802,0.0
3766,Lithuania,1802,28.9
3767,Luxembourg,1802,36.9
3768,"Macao, China",1802,34.7
3769,"Macedonia, FYR",1802,36.1
3770,Madagascar,1802,30.5
3771,Malawi,1802,30.3
3772,Malaysia,1802,30.6
3773,Maldives,1802,32.65
3774,Mali,1802,26.41
3775,Malta,1802,28.7
3776,Marshall Islands,1802,0.0
3777,Martinique,1802,30.15
3778,Mauritania,1802,32.0
3779,Mauritius,1802,28.7
3780,Mayotte,1802,32.5
3781,Mexico,1802,26.9
3782,"Micronesia, Fed. Sts.",1802,26.7
3783,Moldova,1802,33.15
3784,Monaco,1802,0.0
3785,Mongolia,1802,31.8
3786,Montenegro,1802,35.4
3787,Montserrat,1802,0.0
3788,Morocco,1802,33.1
3789,Mozambique,1802,30.28
3790,Myanmar,1802,30.8
3791,Namibia,1802,32.4
3792,Nauru,1802,0.0
3793,Nepal,1802,32.8
3794,Netherlands,1802,39.86
3795,Netherlands Antilles,1802,34.41
3796,New Caledonia,1802,26.0
3797,New Zealand,1802,34.05
3798,Ngorno-Karabakh,1802,0.0
3799,Nicaragua,1802,25.4
3800,Niger,1802,30.8
3801,Nigeria,1802,30.4
3802,Niue,1802,0.0
3803,Norfolk Island,1802,0.0
3804,North Korea,1802,26.0
3805,North Yemen (former),1802,0.0
3806,Northern Cyprus,1802,0.0
3807,Northern Mariana Islands,1802,0.0
3808,Norway,1802,38.37
3809,Oman,1802,32.3
3810,Pakistan,1802,25.8
3811,Palau,1802,0.0
3812,Panama,1802,32.9
3813,Papua New Guinea,1802,31.5
3814,Paraguay,1802,35.5
3815,Peru,1802,35.7
3816,Philippines,1802,30.9
3817,Pitcairn,1802,0.0
3818,Poland,1802,35.9
3819,Portugal,1802,35.6
3820,Puerto Rico,1802,30.43
3821,Qatar,1802,30.8
3822,Reunion,1802,33.0
3823,Romania,1802,35.7
3824,Russia,1802,29.57
3825,Rwanda,1802,25.0
3826,Samoa,1802,25.4
3827,San Marino,1802,0.0
3828,Sao Tome and Principe,1802,31.0
3829,Saudi Arabia,1802,32.1
3830,Senegal,1802,25.2
3831,Serbia,1802,35.5
3832,Serbia and Montenegro,1802,0.0
3833,Serbia excluding Kosovo,1802,0.0
3834,Seychelles,1802,37.0
3835,Sierra Leone,1802,25.1
3836,Singapore,1802,29.1
3837,Slovak Republic,1802,36.4
3838,Slovenia,1802,36.6
3839,Solomon Islands,1802,25.1
3840,Somalia,1802,29.4
3841,Somaliland,1802,0.0
3842,South Africa,1802,33.5
3843,South Korea,1802,25.8
3844,South Ossetia,1802,0.0
3845,South Sudan,1802,26.67
3846,South Yemen (former),1802,0.0
3847,Spain,1802,29.5
3848,Sri Lanka,1802,32.6
3849,St. Barthélemy,1802,0.0
3850,St. Helena,1802,0.0
3851,St. Kitts and Nevis,1802,0.0
3852,St. Lucia,1802,28.01
3853,St. Martin,1802,0.0
3854,St. Vincent and the Grenadines,1802,25.99
3855,St.-Pierre-et-Miquelon,1802,0.0
3856,Sudan,1802,31.4
3857,Suriname,1802,32.9
3858,Svalbard,1802,0.0
3859,Swaziland,1802,32.3
3860,Sweden,1802,40.2
3861,Switzerland,1802,38.0
3862,Syria,1802,31.1
3863,Taiwan,1802,28.3
3864,Tajikistan,1802,24.24
3865,Tanzania,1802,32.2
3866,Thailand,1802,30.4
3867,Timor-Leste,1802,28.95
3868,Togo,1802,31.3
3869,Tokelau,1802,0.0
3870,Tonga,1802,28.2
3871,Transnistria,1802,0.0
3872,Trinidad and Tobago,1802,32.9
3873,Tunisia,1802,28.8
3874,Turkey,1802,35.0
3875,Turkmenistan,1802,24.0
3876,Turks and Caicos Islands,1802,0.0
3877,Tuvalu,1802,0.0
3878,USSR,1802,0.0
3879,Uganda,1802,25.3
3880,Ukraine,1802,36.6
3881,United Arab Emirates,1802,30.7
3882,United Kingdom,1802,38.62
3883,"United Korea (former)
",1802,0.0
3884,United States,1802,39.41
3885,Uruguay,1802,32.9
3886,Uzbekistan,1802,26.93
3887,Vanuatu,1802,24.3
3888,Venezuela,1802,32.2
3889,Vietnam,1802,32.0
3890,Virgin Islands (U.S.),1802,33.4
3891,Wallis et Futuna,1802,0.0
3892,West Bank and Gaza,1802,32.1
3893,West Germany,1802,0.0
3894,Western Sahara,1802,34.75
3895,Yemen,1802,23.39
3896,Yugoslavia,1802,0.0
3897,Zambia,1802,32.6
3898,Zimbabwe,1802,33.7
3899,Åland,1802,0.0
5460,Abkhazia,1803,0.0
5461,Afghanistan,1803,28.18
5462,Akrotiri and Dhekelia,1803,0.0
5463,Albania,1803,35.4
5464,Algeria,1803,28.82
5465,American Samoa,1803,0.0
5466,Andorra,1803,0.0
5467,Angola,1803,26.98
5468,Anguilla,1803,0.0
5469,Antigua and Barbuda,1803,33.54
5470,Argentina,1803,33.2
5471,Armenia,1803,34.0
5472,Aruba,1803,34.42
5473,Australia,1803,34.05
5474,Austria,1803,34.4
5475,Azerbaijan,1803,29.17
5476,Bahamas,1803,35.18
5477,Bahrain,1803,30.3
5478,Bangladesh,1803,25.5
5479,Barbados,1803,32.12
5480,Belarus,1803,36.2
5481,Belgium,1803,40.02
5482,Belize,1803,26.5
5483,Benin,1803,31.0
5484,Bermuda,1803,0.0
5485,Bhutan,1803,28.8
5486,Bolivia,1803,33.0
5487,Bosnia and Herzegovina,1803,35.1
5488,Botswana,1803,33.6
5489,Brazil,1803,32.0
5490,British Virgin Islands,1803,0.0
5491,Brunei,1803,29.2
5492,Bulgaria,1803,35.93
5493,Burkina Faso,1803,29.2
5494,Burundi,1803,31.5
5495,Cambodia,1803,35.0
5496,Cameroon,1803,28.75
5497,Canada,1803,39.0
5498,Cape Verde,1803,33.8
5499,Cayman Islands,1803,0.0
5500,Central African Republic,1803,30.0
5501,Chad,1803,30.9
5502,Channel Islands,1803,0.0
5503,Chile,1803,32.0
5504,China,1803,32.0
5505,Christmas Island,1803,0.0
5506,Cocos Island,1803,0.0
5507,Colombia,1803,32.0
5508,Comoros,1803,32.1
5509,"Congo, Dem. Rep.",1803,31.6
5510,"Congo, Rep.",1803,32.7
5511,Cook Is,1803,0.0
5512,Costa Rica,1803,30.21
5513,Cote d'Ivoire,1803,31.16
5514,Croatia,1803,36.1
5515,Cuba,1803,32.58
5516,Cyprus,1803,38.5
5517,Czech Republic,1803,34.95
5518,Czechoslovakia,1803,0.0
5519,Denmark,1803,44.84
5520,Djibouti,1803,29.9
5521,Dominica,1803,0.0
5522,Dominican Republic,1803,29.9
5523,East Germany,1803,0.0
5524,Ecuador,1803,32.9
5525,Egypt,1803,33.0
5526,El Salvador,1803,28.7
5527,Equatorial Guinea,1803,29.8
5528,Eritrea,1803,30.2
5529,Eritrea and Ethiopia,1803,0.0
5530,Estonia,1803,34.82
5531,Ethiopia,1803,29.7
5532,Faeroe Islands,1803,0.0
5533,Falkland Is (Malvinas),1803,0.0
5534,Fiji,1803,26.1
5535,Finland,1803,28.53
5536,France,1803,30.64
5537,French Guiana,1803,30.5
5538,French Polynesia,1803,25.6
5539,Gabon,1803,30.6
5540,Gambia,1803,28.8
5541,Georgia,1803,31.87
5542,Germany,1803,38.37
5543,Ghana,1803,28.0
5544,Gibraltar,1803,0.0
5545,Greece,1803,36.6
5546,Greenland,1803,33.87
5547,Grenada,1803,31.4
5548,Guadeloupe,1803,27.66
