user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained,DoW,channel_code,is_correct_lang
a100000060,2018-01-02,House Ads,personalization,True,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,False,1,1,Yes
a100000060,2018-01-01,House Ads,personalization,False,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,False,1,1,Yes
a100000061,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,False,1,1,Yes
a100000061,2018-01-01,House Ads,personalization,False,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,False,1,1,Yes
a100000062,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,False,2,1,Yes
a100000062,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,False,2,1,Yes
a100000063,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,False,2,1,Yes
a100000063,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,False,2,1,Yes
a100000064,2018-01-03,Push,personalization,True,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,False,2,1,Yes
a100000064,2018-01-01,House Ads,personalization,False,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,False,2,1,Yes
a100000065,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,False,2,1,Yes
a100000065,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,False,2,1,Yes
a100000066,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,False,2,1,Yes
a100000066,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,False,2,1,Yes
a100000067,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,2018-01-05,House Ads,False,2,1,Yes
a100000068,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000069,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000070,2018-01-03,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000071,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000072,2018-01-03,House Ads,control,True,German,German,45-55 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000073,2018-01-03,House Ads,control,True,English,English,55+ years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000075,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000076,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000077,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000078,2018-01-03,House Ads,control,True,English,English,30-36 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000079,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,NaT,House Ads,True,2,1,Yes
a100000080,2018-01-04,House Ads,control,True,English,English,45-55 years,2018-01-04,NaT,House Ads,True,3,1,Yes
a100000081,2018-01-04,House Ads,control,True,English,English,55+ years,2018-01-04,NaT,House Ads,True,3,1,Yes
a100000082,2018-01-04,House Ads,control,True,English,English,0-18 years,2018-01-04,NaT,House Ads,True,3,1,Yes
a100000083,2018-01-04,House Ads,control,True,English,English,19-24 years,2018-01-04,NaT,House Ads,True,3,1,Yes
a100000085,2018-01-04,House Ads,control,True,Spanish,Spanish,24-30 years,2018-01-04,NaT,House Ads,True,3,1,Yes
a100000086,2018-01-04,House Ads,control,True,English,English,30-36 years,2018-01-04,NaT,House Ads,True,3,1,Yes
a100000087,2018-01-04,House Ads,control,True,English,English,36-45 years,2018-01-04,NaT,House Ads,True,3,1,Yes
a100000088,2018-01-04,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-04,2018-01-11,House Ads,False,3,1,Yes
a100000089,2018-01-04,House Ads,control,True,English,English,55+ years,2018-01-04,2018-02-09,House Ads,False,3,1,Yes
a100000090,2018-01-04,House Ads,control,True,English,English,0-18 years,2018-01-04,2018-03-25,House Ads,False,3,1,Yes
a100000091,2018-01-04,House Ads,control,True,English,English,19-24 years,2018-01-04,2018-01-06,House Ads,False,3,1,Yes
a100000092,2018-01-04,House Ads,control,True,English,English,24-30 years,2018-01-04,2018-03-12,House Ads,False,3,1,Yes
a100000093,2018-01-04,House Ads,control,True,English,English,30-36 years,2018-01-04,2018-03-10,House Ads,False,3,1,Yes
a100000094,2018-01-04,House Ads,control,True,English,English,36-45 years,2018-01-04,2018-02-14,House Ads,False,3,1,Yes
a100000095,2018-01-04,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-04,2018-01-23,House Ads,False,3,1,Yes
a100000096,2018-01-05,House Ads,control,True,English,English,55+ years,2018-01-05,2018-02-11,House Ads,False,4,1,Yes
a100000097,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000098,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000099,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000099,2018-01-04,House Ads,control,False,English,English,24-30 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000100,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000100,2018-01-04,House Ads,control,False,English,English,30-36 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000101,2018-01-05,House Ads,control,True,English,English,36-45 years,2018-01-05,2018-04-13,House Ads,False,4,1,Yes
a100000101,2018-01-04,House Ads,control,False,English,English,36-45 years,2018-01-05,2018-04-13,House Ads,False,4,1,Yes
a100000102,2018-01-05,House Ads,control,True,English,English,45-55 years,2018-01-05,2018-04-12,House Ads,False,4,1,Yes
a100000102,2018-01-04,House Ads,control,False,English,English,45-55 years,2018-01-05,2018-04-12,House Ads,False,4,1,Yes
a100000103,2018-01-05,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-05,2018-04-03,House Ads,False,4,1,Yes
a100000103,2018-01-04,House Ads,control,False,Spanish,Spanish,55+ years,2018-01-05,2018-04-03,House Ads,False,4,1,Yes
a100000104,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,2018-02-17,House Ads,False,4,1,Yes
a100000104,2018-01-04,House Ads,control,False,English,English,0-18 years,2018-01-05,2018-02-17,House Ads,False,4,1,Yes
a100000105,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,2018-04-14,House Ads,False,4,1,Yes
a100000105,2018-01-04,House Ads,control,False,English,English,19-24 years,2018-01-05,2018-04-14,House Ads,False,4,1,Yes
a100000107,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,2018-01-11,House Ads,False,4,1,Yes
a100000107,2018-01-04,House Ads,control,False,English,English,24-30 years,2018-01-05,2018-01-11,House Ads,False,4,1,Yes
a100000108,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,2018-02-03,House Ads,False,4,1,Yes
a100000108,2018-01-04,House Ads,control,False,English,English,30-36 years,2018-01-05,2018-02-03,House Ads,False,4,1,Yes
a100000109,2018-01-05,House Ads,control,True,Spanish,Spanish,36-45 years,2018-01-05,2018-01-08,House Ads,False,4,1,Yes
a100000109,2018-01-04,House Ads,control,False,Spanish,Spanish,36-45 years,2018-01-05,2018-01-08,House Ads,False,4,1,Yes
a100000110,2018-01-05,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-05,2018-01-27,House Ads,False,4,1,Yes
a100000110,2018-01-04,House Ads,control,False,Spanish,Spanish,45-55 years,2018-01-05,2018-01-27,House Ads,False,4,1,Yes
a100000111,2018-01-05,House Ads,control,True,English,English,55+ years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000111,2018-01-04,House Ads,control,False,English,English,55+ years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000112,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000112,2018-01-04,House Ads,control,False,English,English,0-18 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000113,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000114,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000127,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000128,2018-01-05,House Ads,control,True,English,English,36-45 years,2018-01-05,NaT,House Ads,True,4,1,Yes
a100000129,2018-01-06,House Ads,control,True,English,English,45-55 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000130,2018-01-06,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000131,2018-01-06,House Ads,control,True,English,English,0-18 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000132,2018-01-06,House Ads,control,True,English,English,19-24 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000133,2018-01-06,House Ads,control,True,English,English,24-30 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000134,2018-01-06,House Ads,control,True,English,English,30-36 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000150,2018-01-06,House Ads,control,True,English,English,36-45 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000151,2018-01-06,House Ads,control,True,Arabic,Arabic,45-55 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000152,2018-01-06,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000153,2018-01-06,House Ads,control,True,Arabic,Arabic,0-18 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000154,2018-01-06,House Ads,control,True,English,English,19-24 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000155,2018-01-06,House Ads,control,True,English,English,24-30 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000156,2018-01-06,House Ads,control,True,English,English,30-36 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000157,2018-01-06,House Ads,control,True,English,English,36-45 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000162,2018-01-06,House Ads,control,True,English,English,45-55 years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000163,2018-01-06,House Ads,control,True,Arabic,Arabic,55+ years,2018-01-06,NaT,House Ads,True,5,1,Yes
a100000164,2018-01-06,House Ads,control,True,English,English,0-18 years,2018-01-06,2018-03-10,House Ads,False,5,1,Yes
a100000165,2018-01-07,House Ads,control,True,Arabic,Arabic,19-24 years,2018-01-07,2018-03-11,House Ads,False,6,1,Yes
a100000166,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,2018-03-25,House Ads,False,6,1,Yes
a100000167,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,2018-02-21,House Ads,False,6,1,Yes
a100000168,2018-01-07,House Ads,control,True,English,English,36-45 years,2018-01-07,2018-02-25,House Ads,False,6,1,Yes
a100000169,2018-01-07,House Ads,control,True,English,English,45-55 years,2018-01-07,2018-03-05,House Ads,False,6,1,Yes
a100000170,2018-01-07,House Ads,control,True,English,English,55+ years,2018-01-07,2018-04-16,House Ads,False,6,1,Yes
a100000171,2018-01-07,House Ads,control,True,English,English,0-18 years,2018-01-07,2018-02-06,House Ads,False,6,1,Yes
a100000172,2018-01-07,House Ads,control,True,German,German,19-24 years,2018-01-07,2018-02-05,House Ads,False,6,1,Yes
a100000250,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000251,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000252,2018-01-07,House Ads,control,True,German,German,36-45 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000253,2018-01-07,House Ads,control,True,Arabic,Arabic,45-55 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000254,2018-01-07,House Ads,control,True,English,English,55+ years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000255,2018-01-07,House Ads,control,True,English,English,0-18 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000256,2018-01-07,House Ads,control,True,English,English,19-24 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000257,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000258,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000259,2018-01-07,House Ads,control,True,English,English,36-45 years,2018-01-07,NaT,House Ads,True,6,1,Yes
a100000260,2018-01-07,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-07,2018-01-14,House Ads,False,6,1,Yes
a100000261,2018-01-08,House Ads,control,True,English,English,55+ years,2018-01-08,2018-03-13,House Ads,False,0,1,Yes
a100000262,2018-01-08,House Ads,control,True,English,English,0-18 years,2018-01-08,2018-02-22,House Ads,False,0,1,Yes
a100000263,2018-01-08,House Ads,control,True,English,English,19-24 years,2018-01-08,2018-01-11,House Ads,False,0,1,Yes
a100000264,2018-01-08,House Ads,control,True,German,German,24-30 years,2018-01-08,2018-03-19,House Ads,False,0,1,Yes
a100000265,2018-01-08,House Ads,control,True,German,German,30-36 years,2018-01-08,2018-02-10,House Ads,False,0,1,Yes
a100000266,2018-01-08,House Ads,control,True,English,English,36-45 years,2018-01-08,2018-03-30,House Ads,False,0,1,Yes
a100000267,2018-01-08,House Ads,control,True,English,English,45-55 years,2018-01-08,2018-01-15,House Ads,False,0,1,Yes
a100000268,2018-01-08,House Ads,control,True,English,English,55+ years,2018-01-08,2018-02-21,House Ads,False,0,1,Yes
a100000269,2018-01-08,House Ads,control,True,English,English,0-18 years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000270,2018-01-08,House Ads,control,True,English,English,19-24 years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000271,2018-01-08,House Ads,control,True,English,English,24-30 years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000272,2018-01-08,House Ads,control,True,English,English,30-36 years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000273,2018-01-08,House Ads,control,True,German,German,36-45 years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000274,2018-01-08,House Ads,control,True,English,English,45-55 years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000275,2018-01-08,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000276,2018-01-08,House Ads,control,True,Spanish,Spanish,0-18 years,2018-01-08,NaT,House Ads,True,0,1,Yes
a100000277,2018-01-09,House Ads,control,True,Spanish,Spanish,19-24 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000278,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000279,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000280,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000281,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000282,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000283,2018-01-09,House Ads,control,True,English,English,0-18 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000284,2018-01-09,House Ads,control,True,English,English,19-24 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000285,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000286,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000287,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000288,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000289,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000290,2018-01-09,House Ads,control,True,English,English,0-18 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000291,2018-01-09,House Ads,control,True,English,English,19-24 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000292,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000293,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,NaT,House Ads,True,1,1,Yes
a100000294,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,2018-01-14,House Ads,False,1,1,Yes
a100000295,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,2018-02-04,House Ads,False,1,1,Yes
a100000296,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,2018-02-04,House Ads,False,1,1,Yes
a100000297,2018-01-10,House Ads,control,True,German,German,0-18 years,2018-01-10,2018-02-09,House Ads,False,2,1,Yes
a100000298,2018-01-10,House Ads,control,True,German,German,19-24 years,2018-01-10,2018-01-21,House Ads,False,2,1,Yes
a100000299,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,2018-03-07,House Ads,False,2,1,Yes
a100000300,2018-01-10,House Ads,control,True,English,English,30-36 years,2018-01-10,2018-04-10,House Ads,False,2,1,Yes
a100000301,2018-01-10,House Ads,control,True,Spanish,Spanish,36-45 years,2018-01-10,2018-04-16,House Ads,False,2,1,Yes
a100000302,2018-01-10,House Ads,control,True,English,English,45-55 years,2018-01-10,2018-03-26,House Ads,False,2,1,Yes
a100000303,2018-01-10,House Ads,control,True,English,English,55+ years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000304,2018-01-10,House Ads,control,True,English,English,0-18 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000305,2018-01-10,House Ads,control,True,English,English,19-24 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000306,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000307,2018-01-10,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000308,2018-01-10,House Ads,control,True,English,English,36-45 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000309,2018-01-10,House Ads,control,True,English,English,45-55 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000310,2018-01-10,House Ads,control,True,English,English,55+ years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000311,2018-01-10,House Ads,control,True,English,English,0-18 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000312,2018-01-10,House Ads,control,True,English,English,19-24 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000313,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000314,2018-01-10,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000315,2018-01-10,House Ads,personalization,True,English,English,36-45 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000316,2018-01-10,House Ads,personalization,True,English,English,45-55 years,2018-01-10,NaT,House Ads,True,2,1,Yes
a100000317,2018-01-10,House Ads,personalization,True,Spanish,Spanish,55+ years,2018-01-10,2018-04-19,House Ads,False,2,1,Yes
a100000318,2018-01-11,House Ads,personalization,True,English,English,0-18 years,2018-01-11,2018-03-04,House Ads,False,3,1,Yes
a100000319,2018-01-12,House Ads,personalization,True,English,Spanish,19-24 years,2018-01-12,2018-01-26,House Ads,False,4,1,No
a100000320,2018-01-13,House Ads,personalization,True,English,English,24-30 years,2018-01-13,2018-04-05,House Ads,False,5,1,Yes
a100000321,2018-01-14,House Ads,personalization,True,English,English,30-36 years,2018-01-14,2018-01-26,House Ads,False,6,1,Yes
a100000322,2018-01-15,House Ads,personalization,True,English,English,36-45 years,2018-01-15,2018-03-15,House Ads,False,0,1,Yes
a100000323,2018-01-16,House Ads,personalization,True,English,English,45-55 years,2018-01-16,2018-04-22,House Ads,False,1,1,Yes
a100000324,2018-01-17,House Ads,personalization,True,English,English,55+ years,2018-01-17,2018-02-11,House Ads,False,2,1,Yes
a100000325,2018-01-18,House Ads,personalization,True,English,English,0-18 years,2018-01-18,2018-01-23,House Ads,False,3,1,Yes
a100000326,2018-01-19,House Ads,personalization,True,English,English,19-24 years,2018-01-19,NaT,House Ads,True,4,1,Yes
a100000327,2018-01-20,House Ads,personalization,True,English,English,24-30 years,2018-01-20,NaT,House Ads,True,5,1,Yes
a100000328,2018-01-21,House Ads,personalization,True,English,English,0-18 years,2018-01-21,NaT,House Ads,True,6,1,Yes
a100000328,2018-01-10,House Ads,personalization,False,English,English,0-18 years,2018-01-21,NaT,House Ads,True,6,1,Yes
a100000329,2018-01-22,House Ads,personalization,True,English,English,19-24 years,2018-01-22,NaT,House Ads,True,0,1,Yes
a100000329,2018-01-10,House Ads,personalization,False,English,English,19-24 years,2018-01-22,NaT,House Ads,True,0,1,Yes
a100000330,2018-01-23,Push,personalization,True,English,English,24-30 years,2018-01-23,NaT,House Ads,True,1,1,Yes
a100000330,2018-01-10,House Ads,personalization,False,English,English,24-30 years,2018-01-23,NaT,House Ads,True,1,1,Yes
a100000331,2018-01-24,House Ads,personalization,True,English,English,0-18 years,2018-01-24,NaT,House Ads,True,2,1,Yes
a100000331,2018-01-10,House Ads,personalization,False,English,English,0-18 years,2018-01-24,NaT,House Ads,True,2,1,Yes
a100000332,2018-01-25,House Ads,personalization,True,English,English,19-24 years,2018-01-25,NaT,House Ads,True,3,1,Yes
a100000332,2018-01-10,House Ads,personalization,False,English,English,19-24 years,2018-01-25,NaT,House Ads,True,3,1,Yes
a100000333,2018-01-26,House Ads,personalization,True,English,English,24-30 years,2018-01-26,NaT,House Ads,True,4,1,Yes
a100000333,2018-01-10,House Ads,personalization,False,English,English,24-30 years,2018-01-26,NaT,House Ads,True,4,1,Yes
a100000334,2018-01-27,Push,personalization,True,English,English,0-18 years,2018-01-27,NaT,House Ads,True,5,1,Yes
a100000334,2018-01-10,House Ads,personalization,False,English,English,0-18 years,2018-01-27,NaT,House Ads,True,5,1,Yes
