Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Burglary
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Glendale Police Dept,AZ,       2677,       2785,       2932,       2929,       3448,       3263,       2326,       1820,       2037,       2413,       2850,       2277,       2437,       2123,       2234,       2607,       2509,       2438,       2593,       2588,       3332,       3756,       2766,       2665,       2551,       2264,       2442,       2847,       2410,       2091, 
Maricopa County Sheriff Department,AZ,       2460,       2062,       1765,       1623,       1578,       2001,       1822,       1574,       1585,       1753,       1526,       1241,       1659,       2018,       1659,       1484,       1608,       2083,       2063,       1657,,       1734,       2074,       2050,       1841,       1463,       1371,       1210,       1231,       1195, 
Mesa Police Dept,AZ,       2991,       3666,       3356,       3240,       3840,       3884,       4604,       4461,       4664,       4993,       4764,       3883,       4272,       3944,       3916,       3720,       4313,       4957,       4112,       3682,       3560,       3283,       2922,       2866,       3076,       2711,       2769,       2681,       2357,       2358, 
Peoria Police Dept,AZ,         477,         450,         531,         609,         641,         653,         693,         702,         691,         680,         856,         808,       1091,         658,         785,       1180,       1102,         955,       1026,       1037,       1127,       1075,       1329,       1197,       1122,         867,       1088,         929,         717,         607, 
Phoenix Police Dept,AZ,      23346,      25586,      21185,      20841,      23013,      24682,      24219,      20317,      20617,      21347,      20953,      19559,      21027,      18733,      15927,      15860,      16673,      16855,      17104,      16496,      16255,      16150,      19212,      18783,      16281,      15626,      18666,      17912,      16747,      14316, 
Pima County Sheriff Department,AZ,       2758,       2952,,       2233,       2365,       2160,       2206,       2240,       2153,       2296,       2166,       2075,       2446,       2214,       1834,       1798,       1944,       2290,       2352,       2329,       2368,       2643,       2439,       2762,       2443,       2363,       2857,       2771,       2124,       1898, 
Pinal County Sheriff Department,AZ,         457,         464,         426,         464,,         568,         749,         632,         635,         711,,         543,,,,         395,         526,         814,         718,         775,         966,       1067,         743,         493,         740,         787,         710,         687,         618,         646, 
Scottsdale Police Dept,AZ,       1623,       1684,       1288,       1214,       1537,       1512,       1428,       1602,       1609,       1878,       2076,       1786,,       1779,       1670,       2332,       2660,       2786,       2315,       2087,       1869,       1721,       1523,       1488,       1337,       1281,       1424,       1255,       1093,         970, 
Surprise Police Dept,AZ,          32,          23,          33,          23,,          70,         114,         123,         135,         187,         140,         136,         166,,         172,         231,         205,         245,,         347,         290,         360,         534,         594,         532,         441,         617,         519,         402,         350, 
Tempe Police Dept,AZ,,       1781,       1727,       1659,       1911,       2021,       1815,       1501,       2073,       2439,       2103,       2047,       2197,       2150,       1930,       2224,       2273,       2360,       2430,       1793,       1835,       1795,       1866,       1545,       1478,       1416,       1579,       1250,       1276,       1177, 
Tucson Police Dept,AZ,       9914,       9577,       7954,       8230,,       7909,       7493,       6815,       7363,       7205,       5995,       6710,       6921,       6736,       6077,       6721,       6553,       6717,       6397,       6302,       5130,       5121,       4787,       5157,       5062,       5002,       4979,       5021,       4957,       4247, 
Little Rock Police Dept,AR,       4830,       5140,       5398,       5315,       6007,       6033,       5773,       5392,       5796,       5767,       3701,       3382,       4089,       3675,       3490,       3252,       3630,       4826,       4442,       3824,       3803,       3866,       3932,       3576,       4417,       4248,       4655,       4244,       3809,       3107, 
Anaheim Police Dept,CA,       5160,       5352,       4892,       4805,       4467,       4217,       4289,       3961,       3942,       3279,       3141,       2698,       2270,       2085,       1640,       1570,       1798,       1995,       1971,       1912,       1929,       1886,       1827,       1604,       1457,       1594,       1410,       1605,       1412,       1301, 
Antioch Police Dept,CA,         802,         937,         943,         938,         696,         776,         746,         787,         865,       1048,         914,         692,         850,         703,         510,         515,         556,         553,         626,         715,         733,         840,       1027,         923,         824,       1087,       1335,       1741,       1351,       1317, 
Bakersfield Police Dept,CA,       3856,       4453,       4241,       4330,       3467,       3357,       3376,       3499,       3650,       3199,       2862,       2874,       2837,       2879,       2316,       2304,       2035,       2436,       2693,       3023,       3746,       3729,       3537,       4168,       3888,       4235,       4321,       4994,       4605,       4065, 
Berkeley Police Dept,CA,       2930,       2977,       2442,       2840,       2788,       2262,       2663,       2406,       2383,       1740,       1538,       1502,       1260,       1443,       1197,       1124,       1453,       1514,       1245,       1382,       1229,       1152,       1172,       1095,       1079,       1088,         976,         971,       1055,         932, 
Burbank Police Dept,CA,         941,         996,         847,         762,         633,         699,         717,         764,         665,         496,         597,         611,         557,         421,         362,         420,         503,         501,         500,         510,         586,         567,         487,         589,         499,         478,         395,         383,         285,         296, 
Carslbad Police Dept,CA,         628,         826,         944,         757,         740,         720,         833,         812,         817,         816,         785,         676,         469,         449,         434,         401,         413,         426,         496,         457,         517,         587,         528,         507,         446,         399,         468,         497,         525,         331, 
Chula Vista Police Dept,CA,       1325,       1839,       2215,       2069,       1712,       1651,       1903,       1983,       1895,       1739,       1662,       1451,       1460,       1265,         977,       1051,       1009,       1068,       1004,       1184,       1235,       1184,       1093,       1008,         912,         760,         807,         926,         971,         613, 
City Of Murrieta Police Dept,CA,,,,,,,,,         262,         193,         175,         171,         154,         168,         127,         191,         249,         304,         291,         439,         489,         563,         483,         448,         471,         429,         348,         408,         285,         262, 
Clovis Police Dept,CA,         670,         855,         709,         697,         633,         678,         580,         768,         718,         683,         639,         592,         564,         487,         443,         583,         523,         573,         487,         645,         642,         630,         578,         665,         705,         755,         914,         955,         879,         791, 
Concord Police Dept,CA,       1428,       1413,       1402,       1331,       1423,       1174,       1361,       1584,       1604,       1534,       1378,       1186,       1203,       1107,         744,         695,         750,         767,         882,         992,       1114,         941,         816,         802,         808,         922,         898,         829,         825,         832, 
Contra Costa County Sheriff Department,CA,       2467,       2352,       2217,       2011,       1793,       1737,       1804,       1831,       1923,       1930,       1798,       1482,       1628,       1663,       1126,         850,         969,         876,         914,         850,       1019,       1115,       1147,       1169,         989,       1011,       1033,         993,         838,         784, 
Corona Police Dept,CA,       1172,       1224,       1039,       1385,       1664,       1388,       1569,       1665,       1552,       1526,       1252,       1156,       1229,         816,         735,         700,         681,         736,         673,         901,         926,         730,         670,         680,         612,         650,         705,         861,         644,         541, 
Costa Mesa Police Dept,CA,       1582,       1749,       1440,       1393,       1464,       1497,       1275,       1392,       1250,       1179,       1111,         892,         613,         549,         489,         437,         554,         511,         516,         495,         596,         524,         509,         516,         516,         458,         524,         668,         512,         573, 
Daly City Police Dept,CA,         652,         570,         463,         370,         290,         288,         401,         430,         361,         305,         333,         277,         367,         275,         253,         158,         213,         221,         242,         209,         251,         243,         291,         276,         317,         332,         322,         395,         352,         304, 
Downey Police Dept,CA,       1206,       1061,         901,         863,         899,       1056,       1080,         899,         827,         840,         848,         932,         763,         635,         681,         499,         490,         556,         588,         548,         579,         575,         669,         712,         524,         656,         769,         670,         573,         479, 
El Cajon Police Dept,CA,       1053,       1110,       1305,       1453,       1258,       1192,       1331,       1485,       1368,       1291,       1189,       1038,         997,         860,         578,         723,         667,         785,         887,         815,         769,         638,         584,         571,         487,         552,         603,         493,         493,         496, 
El Dorado County Sheriff Department,CA,       1162,       1221,       1310,       1079,       1123,       1041,       1135,       1210,       1363,       1342,       1086,         733,         920,         747,         528,         554,         666,         933,         729,         810,         741,         694,         652,         738,         715,         864,       1020,         766,         747,         625, 
El Monte Police Dept,CA,       2010,       1538,       1592,       1538,       1737,       1824,       1605,       1684,       1357,       1352,         996,         854,         768,         690,         495,         492,         589,         647,         651,         722,         702,         831,         625,         632,         644,         607,         544,         571,         568,         462, 
Escondido Police Dept,CA,       1178,       1298,       1409,       1489,       1623,       1845,       1821,       1641,       1490,       1551,       1450,       1079,       1200,         960,         616,         750,         851,         960,         963,         785,         801,         758,         808,         898,         779,         743,         557,         764,         717,         500, 
Fairfield Police Dept,CA,         749,         855,         873,         980,         999,         842,         910,         875,         828,       1007,         902,         907,         934,         895,         735,         598,         653,         678,         660,         738,         748,         745,         696,         736,         779,         757,         572,         676,         735,         656, 
Fontana Police Dept,CA,       1049,       1156,       1264,       1297,       1504,       1781,       1723,       1593,       1612,       1467,       1372,       1143,         973,         970,         845,         873,         746,         843,         745,         725,         782,         779,         936,       1006,       1060,         804,       1041,       1099,         872,         686, 
Fremont Police Dept,CA,       1786,       1514,       1526,       1390,       1330,       1443,       1643,       1451,       1584,       1731,       1424,       1306,       1501,       1287,         993,       1025,       1000,       1018,       1059,         939,       1009,       1325,       1292,       1097,       1190,       1167,       1206,       1176,         944,         899, 
Fresno County Sheriff Department,CA,       3540,       3850,       3196,       3009,       2841,       2461,       3101,       2900,       2979,       2775,       2456,       1943,       1810,       1427,       1245,       1438,       1662,       1452,       1774,       1769,       1683,       1631,       1705,       1735,       1630,       1466,       1618,       1934,       1358,       1108, 
Fresno Police Dept,CA,       7900,       9352,       9103,       7632,       8095,       7137,       7838,       9413,       8472,       7659,       7638,       6868,       6640,       5202,       4419,       4514,       5203,       4476,       3927,       3994,       4170,       4366,       3897,       4173,       4423,       5262,       5713,       5902,       5223,       4721, 
Fullerton Police Dept,CA,       1537,       1642,       1601,       1426,       1271,       1600,       1424,       1625,       1385,       1202,       1113,         930,         783,         787,         623,         653,         719,         778,         784,         761,         805,         764,         883,         816,         779,         680,         643,         742,         627,         521, 
Garden Grove Police Dept,CA,       2662,       2547,       2458,       2086,       2113,       1993,       2088,       2115,       1759,       1489,       1293,       1229,       1186,         921,         798,         728,         681,         848,         754,         774,         803,         715,         866,         828,         687,         810,         717,         761,         637,         646, 
Glendale Police Dept,CA,       1916,       1768,       1809,       1610,       1877,       1916,       2025,       1756,       1596,       1133,       1315,       1135,         987,         737,         723,         896,         987,         913,         800,         737,         723,         672,         611,         708,         635,         642,         623,         516,         563,         511, 
Hayward Police Dept,CA,       1693,       1529,       1581,       1586,       1633,       1310,       1737,       1431,       1737,       1362,       1235,       1253,       1147,       1044,         798,         664,         851,         791,         847,         863,       1147,       1196,         965,       1080,         979,       1097,         988,       1109,       1051,         985, 
Huntington Beach Police Dept,CA,       2350,       2501,       2253,       2377,       2247,       1902,       1825,       1944,       1984,       1788,       2084,       1629,       1419,       1332,       1055,         959,       1002,         856,         961,         858,         789,         961,         795,         749,         704,         767,         753,         797,         793,         643, 
Inglewood Police Dept,CA,       2276,       2365,       1909,       1722,       1672,       1866,       2000,       1900,       1561,       1230,       1096,       1082,       1088,         941,         691,         803,         839,         690,         801,         758,         822,         675,         851,         710,         685,         627,         568,         646,         637,         582, 
Irvine Police Department,CA,       1037,         978,         908,         886,         890,       1110,       1279,       1226,         990,         926,         894,         837,         860,         859,         755,         773,         904,         867,         816,         940,         709,         634,         637,         452,         481,         480,         513,         570,         583,         575, 
Kern County Sheriff Department,CA,       4455,       5307,       5202,       4753,       4095,       4176,       4648,       4591,       4844,       4421,       4019,       3859,       3844,       3602,       2930,       2806,       2942,       3032,       3400,       3607,       3260,       3226,       3118,       3272,       3596,       3368,       3301,       4015,       3859,       3127, 
Lancaster,CA,         888,         781,         996,       1046,       1355,       1118,       1186,       1482,       1370,       1482,       1414,       1455,       1623,       1215,         988,       1049,       1159,       1179,       1075,       1068,       1260,       1539,       1612,       1562,       1206,       1033,         986,       1043,       1062,       1140, 
Long Beach Police Dept,CA,       8271,       8763,       7147,       7426,       8817,       8661,       7901,       7554,       6780,       6486,       5577,       5003,       4295,       3908,       3357,       3160,       3232,       3405,       3003,       3245,       2955,       2896,       2905,       3080,       3116,       2929,       3275,       3799,       3776,       3482, 
Los Angeles County Sheriff Department,CA,,,,,,,,,,,,,,,       4805,       5017,       5136,       5124,       4921,       5042,       5024,       4890,       5293,       5311,       5033,       5046,       4624,       4816,       4363,       3949, 
Los Angeles Police Dept,CA,      63963,      64201,      52927,      50988,      51209,      51482,      57460,      57771,      50232,      43535,      41325,      35865,      30195,      26067,      21521,      24422,      25695,      25374,      25115,      23182,      22592,      20359,      19629,      19726,      18435,      17410,      17264,      16388,      15728,      15070, 
Modesto Police Dept,CA,       2117,       2904,       2338,       2067,       2097,       2096,       2396,       2292,       2555,       2657,       2814,       2701,       2706,       2346,       1851,       1760,       1829,       1819,       1743,       1857,       1742,       1762,       2216,       2393,       2291,       2171,       2121,       2571,       2251,       1754, 
Monterey County Sheriff Department,CA,       1196,       1275,       1073,         948,         875,       1006,         892,         861,       1061,         819,         861,         758,         694,         658,         476,         574,         619,         668,         656,         480,         576,         568,         599,         526,         669,         567,         504,         523,         482,         439, 
Moreno Valley,CA,,,,,,       1989,       1917,       2147,       2220,       2457,       2200,       2280,       2330,       2266,       1527,       1708,       1635,       1446,       1481,       1561,       1522,       2239,       1945,       2192,       2020,       1843,       2095,       2018,       1822,       1638, 
Norwalk,CA,       1103,       1060,       1050,         922,       1022,         965,       1121,       1027,       1079,         948,         794,         710,         645,         530,         529,         484,         544,         639,         629,         608,         558,         504,         511,         493,         396,         438,         476,         539,         420,         360, 
Oakland Police Dept,CA,      11846,      12231,      10793,      10962,       9874,       8500,       8848,       8870,       8355,       7026,,       6058,       5923,       6119,       5094,       3506,       3696,       4252,       4568,       4324,       5783,       5070,       4742,       4488,       4798,       4961,       5170,       6168,       5058,       4006, 
Oceanside,CA,       1409,       1504,       1610,       1668,       1768,       1889,       1781,       2094,       2007,       2167,       1861,       1737,       1301,       1340,       1060,       1140,       1071,       1109,       1114,       1125,       1065,         979,         839,         836,         768,         765,         792,         841,         677,         615, 
Ontario Police Dept,CA,       2506,       2966,       2667,       2279,       2242,       2341,       2244,       2229,       2469,       2286,       1856,       1479,       1552,       1354,       1172,       1124,       1082,       1139,       1019,         980,         991,         967,         970,       1000,         986,         850,         939,       1058,         830,         780, 
Orange County Sheriff Department,CA,       3547,       3737,       3264,       2829,       2162,       1850,       2192,       1141,       1118,         954,         886,         845,         818,         660,         500,         443,         349,         303,         323,         323,         371,         361,         296,         298,         243,         255,         277,         338,         261,         248, 
Orange Police Dept,CA,       1566,       1886,       1648,       1401,       1470,       1360,       1565,       1575,       1444,       1163,         968,         878,         701,         759,         517,         512,         467,         628,         440,         488,         537,         549,         458,         426,         431,         404,         445,         500,         473,         366, 
Oxnard Police Dept,CA,       2173,       2234,       2023,       1867,       1835,       1599,       2125,       2134,       1615,       1794,       1335,       1255,       1238,       1096,       1029,         924,         917,         913,         975,         904,         941,         946,         866,         895,         704,         785,         577,         848,         974,       1172, 
Palmdale,CA,         477,         508,         599,         689,         868,         869,       1019,       1051,       1020,         989,       1067,       1231,       1146,       1063,         873,         928,         896,         961,       1009,       1009,         967,       1169,       1182,       1033,       1080,         959,         959,       1035,       1049,         875, 
Pasadena Police Dept,CA,       2671,       2491,       1896,       2074,       2215,       1626,       1860,       1891,       1797,       1546,       1713,       1365,       1212,       1061,         795,       1026,         899,         959,         849,         723,         788,         892,         825,         858,         824,         832,       1011,         891,         939,         826, 
Placer County Sheriff Department,CA,       1075,       1022,       1040,         971,         958,         963,       1244,       1223,       1238,       1165,       1151,         977,         985,         855,         651,         686,         587,         756,         691,         734,         789,         684,         634,         691,         660,         645,         622,         568,         640,         514, 
Pomona Police Dept,CA,       2926,       3011,       2636,       2138,       2312,       2034,       2511,       2214,       2282,       1832,       1786,       1697,       1344,       1167,       1169,         892,         951,         886,         914,       1013,         997,       1027,         972,       1101,         854,         867,         890,         901,         847,         677, 
Rancho Cucamonga,CA,       1198,       1272,       1267,         993,       1032,       1094,       1382,       1221,       1262,       1249,         998,         990,         902,         667,         825,         813,         811,         744,         832,         801,         768,         715,         734,         793,         860,         879,       1173,       1460,       1374,       1348, 
Rialto Police Dept,CA,       1098,       1165,       1267,       1130,       1338,       1246,       1355,       1580,       2012,       1752,       1475,         950,         834,       1057,         705,         625,         553,         591,         603,         665,         715,         607,         727,         660,         801,         721,         934,         898,         798,         613, 
Richmond Police Dept,CA,       2774,       2652,       2303,       2639,       2534,       1891,       2270,       2182,       2153,       1749,       1392,       1428,       1364,       1388,       1240,       1248,       1230,       1051,       1102,       1038,       1062,       1031,       1265,       1222,       1486,       1521,       1651,       1537,       1631,         937, 
Riverside County Sheriff Department,CA,       8424,       9390,       9639,       9875,      11756,       8463,       7352,       7260,       7247,       7003,       5578,       4905,       4282,       3715,       3906,       2988,       3378,       3073,       3135,       3524,       3829,       3835,       3829,       3577,       3057,       2892,       2673,       2633,       2405,       1972, 
Riverside Police Dept,CA,       4574,       5011,       5128,       4746,       4254,       4703,       5203,       4398,       4975,       5022,       4232,       2894,       2772,       2348,       2250,       2122,       2225,       2525,       2194,       2372,       2498,       2372,       2227,       2208,       2020,       2068,       2080,       2247,       1978,       1531, 
Roseville Police Dept,CA,         478,         550,         510,         512,         566,         546,         670,         585,         754,         704,         658,         582,         562,         531,         513,         513,         413,         549,         572,         702,         852,         588,         648,         629,         525,         542,         534,         519,         482,         470, 
Sacramento County Sheriff Department,CA,       9526,       8450,       7742,       8818,       8780,       9205,       9587,       9404,      10470,      10800,      10395,       8586,       8258,       6774,       5429,       5688,       5693,       6537,       6484,       6888,       7159,       7368,       4695,       4580,       4725,       5038,       4150,       4645,       4211,       3820, 
Sacramento Police Dept,CA,       9975,       9983,       8800,       7701,       7481,       6966,       7753,       7305,       8080,       8076,       8003,       7148,       6873,       6505,       4805,       4661,       5068,       5019,       5606,       5362,       5841,       6175,       5422,       5216,       5135,       5027,       4141,       4474,       3886,       3238, 
Salinas Police Dept,CA,       1477,       2117,       1739,       1468,       1269,       1419,       1173,       1473,       1327,       1209,       1181,       1031,       1163,         916,         729,         808,         843,         757,         837,         918,         935,         907,       1205,       1415,       1382,       1358,       1140,       1218,       1148,       1281, 
San Bernardino County Sheriff Department,CA,       6511,       7081,       7601,       7775,       5955,       5842,       5884,       5478,       4958,       4880,       4725,       3981,       3586,       2912,       2044,       2164,       2242,       2326,       2463,       2289,       2063,       1950,       2178,       2153,       2104,       1942,       2202,       2317,       2219,       1778, 
San Bernardino Police Dept,CA,       4494,       4918,       4147,       4226,,,,       5075,       4740,       4914,       3991,       3544,       3648,       3275,       2570,       2201,       2299,       2340,       2524,       2543,       2525,       2135,       2129,       2215,       2349,       2318,       2359,       2809,       2673,       2370, 
San Diego County Sheriff Department,CA,       7333,       7949,       8343,       8279,       7739,       7962,       8166,       7927,       7717,       7786,       6963,       5847,       2614,       2328,       1883,       1819,       2191,       2503,       2621,       2462,       2469,       2297,       2055,       2010,       1693,       1755,       1725,       1939,       1682,       1335, 
San Diego Police Dept,CA,      16363,      17533,      17370,      17536,      17495,      16691,      17088,      16437,      14583,      12889,      10311,       8608,       8159,       7349,       6568,       6717,       7219,       7639,       8076,       7305,       7462,       7746,       7679,       7743,       6693,       6387,       5840,       5902,       6355,       5115, 
San Francisco Police Dept,CA,      11757,      10076,       9642,      10148,      10692,      10618,      10604,      11831,      11153,       8055,       7127,       7079,       7153,       6706,       5526,       5695,,       5947,       5784,       6097,       6208,       6465,       5079,       5401,       5197,       4557,       4408,       5317,       5931,       5237, 
San Joaquin County Sheriff Department,CA,       2903,       2736,       2657,       2626,       2362,       2363,       2310,       2384,       2469,       2174,       1791,       1385,       1369,       1359,       1123,         946,       1153,       1300,       1486,       1519,       1522,       1564,       1751,       1676,       1569,       1656,       1802,       1771,       1520,       1254, 
San Jose Police Dept,CA,       9359,       7663,       6434,       6560,       6318,       5752,       7403,       6776,       6014,       5823,       5477,       4700,       4381,       4129,       2685,       2670,       2939,       3026,       3314,       3616,       4049,       4423,       4449,       3457,       3741,       3940,       4223,       5206,       5173,       5167, 
San Luis Obispo County Sheriff Department,CA,         715,         537,         531,         508,         538,         459,         436,         453,         598,         633,         606,         460,         426,         412,         357,         379,         405,         377,         438,         488,         507,         433,         449,         474,         416,         437,         481,         494,         540,         521, 
San Mateo County Sheriff Department,CA,         863,         555,         754,       1147,       1613,       1024,         993,       1033,         845,       1016,         813,         263,         237,         244,         294,         196,         218,         185,         201,         248,         259,         230,         214,         190,         221,         229,         312,         471,         545,         491, 
San Mateo Police Dept,CA,         851,         774,         657,         561,         484,         392,         458,         476,         560,         513,         585,,         485,         530,         284,         265,         253,         348,         294,         398,         355,         274,         241,         234,         274,         242,         306,         285,         309,         407, 
Santa Ana Police Dept,CA,       5097,       4767,       4300,       3589,       3648,       3574,       4252,       3791,       2950,       2452,       2182,       1822,       1605,       1506,       1226,       1247,       1396,       1225,       1110,       1238,       1194,       1074,       1013,       1097,       1160,       1116,       1067,       1032,         803,         793, 
Santa Barbara County Sheriff Department,CA,       1071,       1016,         966,       1088,       1422,       1573,       1808,       1658,       1735,       1678,       1323,       1181,       1414,         942,         478,         537,         419,         451,         535,         677,         569,         515,         486,         569,         647,         564,         487,         568,         569,         487, 
Santa Clara Police Dept,CA,       1058,       1073,       1034,         868,         948,         723,         859,         765,         835,         757,         637,         555,         640,         487,         372,         514,         420,         417,         420,         463,         553,         595,         553,         450,         428,         481,         409,         584,         461,         577, 
Santa Clarita,CA,,,,,,         779,         777,         827,         886,         961,         910,         716,         608,         609,         508,         595,         662,         611,         681,         729,         838,         766,         764,         638,         705,         574,         567,         616,         704,         613, 
Santa Cruz County Sheriff Department,CA,       1610,       1707,       1445,       1137,       1187,       1193,       1141,       1272,       1175,       1204,       1088,         964,         907,         851,         749,         599,         570,         635,         712,         730,         844,         830,         710,         692,         804,         812,         913,         721,         740,         657, 
Santa Maria Police Dept,CA,         897,         789,         991,       1021,         924,         874,         797,         926,         910,         656,         614,         730,         718,         580,         386,         409,         387,,,         448,         383,         372,         513,         528,         554,         506,         655,         712,         647,         666, 
Santa Rosa Police Dept,CA,       1815,       1751,       1509,       1498,       1513,       1362,       1274,       1391,       1545,       1594,       1183,         920,       1310,       1086,         720,         823,         773,         974,       1080,         955,         803,         833,         726,         791,         710,         757,         637,         725,         638,         598, 
Simi Valley Police Dept,CA,         879,         813,         827,         836,         859,         835,         742,         760,         611,         651,         626,         460,         503,         417,         383,         389,         361,         355,         466,         512,         583,         425,         432,         403,         375,         388,         314,         398,         344,         348, 
Sonoma County Sheriff Department,CA,       2001,       1793,       1588,       1752,       1744,       1394,       1415,       1609,       1471,       1585,       1465,       1088,       1160,         962,         721,         760,         700,         726,,         747,         744,         739,         705,         667,         597,         547,         490,         539,         552,         525, 
Stanislaus County Sheriff Department,CA,       2024,       2155,       2080,       1821,       1787,       1733,       1816,       1855,       2460,       1948,       1957,       1798,       1844,       1534,       1142,       1266,       1027,       1217,       1157,       1277,       1337,       1463,       1738,       1315,       1418,       1320,       1135,       1021,       1076,         835, 
Stockton Police Dept,CA,       4963,       5477,       4689,       4866,       5518,       5070,       4926,       4617,       5362,       4561,       3836,       3418,       3326,       3180,       2476,       2500,       2871,       2965,       3125,       3067,       3434,       3836,       4054,       4353,       3980,       4482,       4133,       4416,       4189,       3124, 
Sunnyvale Dept Of Public Safety,CA,         809,         723,         665,         554,         577,         499,         549,         634,         604,         516,         459,         420,         461,         409,         304,         308,         289,         322,         372,         395,         495,         524,         372,         350,         431,         407,         393,         524,         574,         511, 
Temecula,CA,,,,,,,         486,         405,         406,         502,         361,         384,         328,         370,         389,         495,         429,         452,         414,         525,         684,         674,         667,         704,         576,         535,         547,         588,         711,         656, 
Thousand Oaks,CA,         974,         925,         834,,         865,         935,         982,         786,         649,         496,         447,         447,         412,         449,         369,         326,         308,         364,         332,         333,         379,         367,         424,         308,         323,         358,         319,         278,         291,         357, 
Torrance Police Dept,CA,       1492,       1698,       1589,       1405,       1401,       1479,       1532,       1533,       1582,       1547,       1294,       1385,       1042,         901,         785,         686,         744,         708,         785,         696,         641,         666,         476,         509,         442,         516,         509,         529,         591,         582, 
Tulare County Sheriff Department,CA,       1952,       1897,       1822,       1339,       1229,       1243,       1672,       1720,       1695,       1744,       1556,       1140,       1197,       1147,         843,         975,         999,       1141,       1045,       1219,       1328,       1196,         783,       1040,       1187,       1128,       1200,       1177,       1180,         747, 
Vallejo Police Dept,CA,       2147,       2258,       2437,       2152,       1863,       1500,       1831,       2029,       1802,       1888,       1670,       1658,       1918,       1523,       1323,       1141,       1176,       1194,       1021,,,       1155,       1455,       2155,       2358,       2249,       2468,       2688,       2972,       2258, 
Ventura County Sheriff Department,CA,         731,         793,         653,,         510,         653,         677,         555,         628,         559,         551,         435,         437,         418,         334,         340,         298,         318,         313,         334,         332,         370,         317,         345,         352,         349,         273,         331,         307,         256, 
Ventura Police Dept,CA,       1159,       1272,       1129,       1157,       1223,       1162,       1273,       1360,       1271,       1289,       1139,         952,         977,         818,         649,         646,         565,         621,         764,         743,         815,         730,         746,         669,         615,         652,         657,         778,         745,         663, 
Victorville,CA,         496,         502,         869,         757,         794,         850,       1008,         870,       1026,       1051,         816,         927,       1327,         666,         591,         681,         702,         721,         856,         778,         865,       1173,       1281,       1384,       1253,       1274,       1359,       1837,       1461,       1747, 
Visalia Police Dept,CA,       1331,       1137,       1278,       1181,         844,         996,       1239,       1106,       1126,         986,         999,         922,       1019,       1054,       1086,         880,         967,       1094,       1080,       1455,       1216,       1368,       1109,       1238,       1261,       1237,       1110,       1227,       1218,         783, 
