,station,date,element,value
77,USW00014765,20040105,PGTM,450
78,USW00014765,20040105,TAVG,22
79,USW00014765,20040105,WDF2,50
80,USW00014765,20040105,WDF5,50
81,USW00014765,20040105,WESD,0
82,USW00014765,20040105,WSF2,63
83,USW00014765,20040105,WSF5,76
84,USW00014765,20040105,WT01,1
85,USW00014765,20040105,WT13,1
86,USW00014765,20040105,WT14,1
87,USW00014765,20040105,WT16,1
88,USW00014765,20040106,TMAX,28
89,USW00014765,20040106,TMIN,-67
90,USW00014765,20040106,PRCP,3
91,USW00014765,20040106,SNOW,3
92,USW00014765,20040106,SNWD,0
93,USW00014765,20040106,AWND,55
94,USW00014765,20040106,FMTM,2033
95,USW00014765,20040106,PGTM,1905
96,USW00014765,20040106,TAVG,-17
97,USW00014765,20040106,TSUN,0
98,USW00014765,20040106,WDF2,320
99,USW00014765,20040106,WDF5,260
100,USW00014765,20040106,WESD,0
101,USW00014765,20040106,WSF2,103
102,USW00014765,20040106,WSF5,143
103,USW00014765,20040106,WT01,1
104,USW00014765,20040106,WT02,1
105,USW00014765,20040106,WT13,1
106,USW00014765,20040106,WT16,1
107,USW00014765,20040106,WT18,1
108,USW00014765,20040106,WT22,1
109,USW00014765,20040107,TMAX,-39
110,USW00014765,20040107,TMIN,-83
111,USW00014765,20040107,PRCP,0
112,USW00014765,20040107,SNOW,0
113,USW00014765,20040107,SNWD,0
114,USW00014765,20040107,AWND,57
115,USW00014765,20040107,FMTM,1357
116,USW00014765,20040107,PGTM,1356
117,USW00014765,20040107,TAVG,-61
118,USW00014765,20040107,WDF2,270
119,USW00014765,20040107,WDF5,270
120,USW00014765,20040107,WESD,0
121,USW00014765,20040107,WSF2,103
122,USW00014765,20040107,WSF5,134
123,USW00014765,20040108,TMAX,-44
124,USW00014765,20040108,TMIN,-94
125,USW00014765,20040108,PRCP,0
126,USW00014765,20040108,SNOW,0
127,USW00014765,20040108,SNWD,0
128,USW00014765,20040108,AWND,54
129,USW00014765,20040108,FMTM,1200
130,USW00014765,20040108,PGTM,1140
131,USW00014765,20040108,TAVG,-67
132,USW00014765,20040108,WDF2,290
133,USW00014765,20040108,WDF5,310
134,USW00014765,20040108,WESD,0
135,USW00014765,20040108,WSF2,112
136,USW00014765,20040108,WSF5,143
137,USW00014765,20040108,WT18,1
138,USW00014765,20040109,TMAX,-89
139,USW00014765,20040109,TMIN,-167
140,USW00014765,20040109,PRCP,0
141,USW00014765,20040109,SNOW,0
142,USW00014765,20040109,SNWD,0
143,USW00014765,20040109,AWND,56
144,USW00014765,20040109,FMTM,1433
145,USW00014765,20040109,PGTM,1432
146,USW00014765,20040109,TAVG,-128
147,USW00014765,20040109,WDF2,360
148,USW00014765,20040109,WDF5,360
149,USW00014765,20040109,WESD,0
150,USW00014765,20040109,WSF2,103
151,USW00014765,20040109,WSF5,130
152,USW00014765,20040110,TMAX,-89
153,USW00014765,20040110,TMIN,-183
154,USW00014765,20040110,PRCP,0
155,USW00014765,20040110,SNOW,0
156,USW00014765,20040110,SNWD,0
157,USW00014765,20040110,AWND,52
158,USW00014765,20040110,FMTM,1010
159,USW00014765,20040110,PGTM,2012
160,USW00014765,20040110,TAVG,-133
161,USW00014765,20040110,WDF2,10
162,USW00014765,20040110,WDF5,310
163,USW00014765,20040110,WESD,0
164,USW00014765,20040110,WSF2,80
165,USW00014765,20040110,WSF5,103
166,USW00014765,20040111,TMAX,-28
167,USW00014765,20040111,TMIN,-167
168,USW00014765,20040111,PRCP,0
169,USW00014765,20040111,SNOW,0
170,USW00014765,20040111,SNWD,0
171,USW00014765,20040111,AWND,38
172,USW00014765,20040111,FMTM,1625
173,USW00014765,20040111,PGTM,1625
174,USW00014765,20040111,TAVG,-94
175,USW00014765,20040111,WDF2,200
176,USW00014765,20040111,WDF5,200
177,USW00014765,20040111,WESD,0
178,USW00014765,20040111,WSF2,67
179,USW00014765,20040111,WSF5,76
180,USW00014765,20040112,TMAX,6
181,USW00014765,20040112,TMIN,-39
182,USW00014765,20040112,PRCP,20
183,USW00014765,20040112,SNOW,36
184,USW00014765,20040112,SNWD,25
185,USW00014765,20040112,AWND,29
186,USW00014765,20040112,FMTM,17
187,USW00014765,20040112,PGTM,16
188,USW00014765,20040112,TAVG,-17
189,USW00014765,20040112,TSUN,0
190,USW00014765,20040112,WDF2,250
191,USW00014765,20040112,WDF5,250
192,USW00014765,20040112,WESD,0
193,USW00014765,20040112,WSF2,67
194,USW00014765,20040112,WSF5,89
195,USW00014765,20040112,WT01,1
196,USW00014765,20040112,WT13,1
197,USW00014765,20040112,WT18,1
198,USW00014765,20040113,TMAX,61
199,USW00014765,20040113,TMIN,-106
200,USW00014765,20040113,PRCP,0
201,USW00014765,20040113,SNOW,0
202,USW00014765,20040113,SNWD,25
203,USW00014765,20040113,AWND,64
204,USW00014765,20040113,FMTM,1738
205,USW00014765,20040113,PGTM,1738
206,USW00014765,20040113,TAVG,-22
207,USW00014765,20040113,WDF2,300
208,USW00014765,20040113,WDF5,290
209,USW00014765,20040113,WESD,0
210,USW00014765,20040113,WSF2,156
211,USW00014765,20040113,WSF5,206
212,USW00014765,20040113,WT16,1
213,USW00014765,20040113,WT18,1
214,USW00014765,20040114,TMAX,-106
215,USW00014765,20040114,TMIN,-172
216,USW00014765,20040114,PRCP,0
217,USW00014765,20040114,SNOW,0
218,USW00014765,20040114,SNWD,0
219,USW00014765,20040114,AWND,49
220,USW00014765,20040114,FMTM,36
221,USW00014765,20040114,PGTM,36
222,USW00014765,20040114,TAVG,-139
223,USW00014765,20040114,WDF2,320
224,USW00014765,20040114,WDF5,320
225,USW00014765,20040114,WESD,0
226,USW00014765,20040114,WSF2,143
227,USW00014765,20040114,WSF5,179
228,USW00014765,20040114,WT18,1
229,USW00014765,20040115,TMAX,-111
230,USW00014765,20040115,TMIN,-206
231,USW00014765,20040115,PRCP,8
232,USW00014765,20040115,SNOW,33
233,USW00014765,20040115,SNWD,25
234,USW00014765,20040115,AWND,67
235,USW00014765,20040115,FMTM,2340
236,USW00014765,20040115,PGTM,2014
237,USW00014765,20040115,TAVG,-156
238,USW00014765,20040115,WDF2,320
239,USW00014765,20040115,WDF5,300
240,USW00014765,20040115,WESD,0
241,USW00014765,20040115,WSF2,112
242,USW00014765,20040115,WSF5,143
243,USW00014765,20040115,WT18,1
244,USW00014765,20040116,TMAX,-106
245,USW00014765,20040116,TMIN,-211
246,USW00014765,20040116,PRCP,0
247,USW00014765,20040116,SNOW,0
248,USW00014765,20040116,SNWD,0
249,USW00014765,20040116,AWND,69
250,USW00014765,20040116,FMTM,1457
251,USW00014765,20040116,PGTM,1456
252,USW00014765,20040116,TAVG,-156
253,USW00014765,20040116,WDF2,320
254,USW00014765,20040116,WDF5,320
255,USW00014765,20040116,WESD,0
256,USW00014765,20040116,WSF2,125
257,USW00014765,20040116,WSF5,170
258,USW00014765,20040117,TMAX,33
259,USW00014765,20040117,TMIN,-111
260,USW00014765,20040117,PRCP,0
261,USW00014765,20040117,SNOW,0
262,USW00014765,20040117,SNWD,0
263,USW00014765,20040117,AWND,51
264,USW00014765,20040117,FMTM,929
265,USW00014765,20040117,PGTM,928
266,USW00014765,20040117,TAVG,-39
267,USW00014765,20040117,WDF2,320
268,USW00014765,20040117,WDF5,310
269,USW00014765,20040117,WESD,0
270,USW00014765,20040117,WSF2,103
271,USW00014765,20040117,WSF5,134
272,USW00014765,20040118,TMAX,11
273,USW00014765,20040118,TMIN,-28
274,USW00014765,20040118,PRCP,51
275,USW00014765,20040118,SNOW,74
276,USW00014765,20040118,SNWD,0
277,USW00014765,20040118,AWND,26
278,USW00014765,20040118,FMTM,2232
279,USW00014765,20040118,PGTM,2306
280,USW00014765,20040118,TAVG,-6
281,USW00014765,20040118,WDF2,310
282,USW00014765,20040118,WDF5,310
283,USW00014765,20040118,WESD,0
284,USW00014765,20040118,WSF2,76
285,USW00014765,20040118,WSF5,98
286,USW00014765,20040118,WT01,1
287,USW00014765,20040118,WT13,1
288,USW00014765,20040118,WT18,1
289,USW00014765,20040119,TMAX,-28
290,USW00014765,20040119,TMIN,-83
291,USW00014765,20040119,PRCP,0
292,USW00014765,20040119,SNOW,0
293,USW00014765,20040119,SNWD,51
294,USW00014765,20040119,AWND,55
295,USW00014765,20040119,FMTM,1458
296,USW00014765,20040119,PGTM,1458
297,USW00014765,20040119,TAVG,-56
298,USW00014765,20040119,WDF2,310
299,USW00014765,20040119,WDF5,310
300,USW00014765,20040119,WESD,0
301,USW00014765,20040119,WSF2,107
302,USW00014765,20040119,WSF5,134
303,USW00014765,20040120,TMAX,-39
304,USW00014765,20040120,TMIN,-128
305,USW00014765,20040120,PRCP,0
306,USW00014765,20040120,SNOW,0
307,USW00014765,20040120,SNWD,25
308,USW00014765,20040120,AWND,57
309,USW00014765,20040120,FMTM,1149
310,USW00014765,20040120,PGTM,1405
311,USW00014765,20040120,TAVG,-83
312,USW00014765,20040120,WDF2,290
313,USW00014765,20040120,WDF5,300
314,USW00014765,20040120,WESD,0
315,USW00014765,20040120,WSF2,112
316,USW00014765,20040120,WSF5,143
317,USW00014765,20040121,TMAX,-17
318,USW00014765,20040121,TMIN,-106
319,USW00014765,20040121,PRCP,0
320,USW00014765,20040121,SNOW,0
321,USW00014765,20040121,SNWD,25
322,USW00014765,20040121,AWND,36
323,USW00014765,20040121,FMTM,134
324,USW00014765,20040121,PGTM,133
325,USW00014765,20040121,TAVG,-61
326,USW00014765,20040121,WDF2,320
327,USW00014765,20040121,WDF5,330
328,USW00014765,20040121,WESD,0
329,USW00014765,20040121,WSF2,72
330,USW00014765,20040121,WSF5,103
331,USW00014765,20040122,TMAX,22
332,USW00014765,20040122,TMIN,-106
333,USW00014765,20040122,PRCP,0
334,USW00014765,20040122,SNOW,0
335,USW00014765,20040122,SNWD,25
336,USW00014765,20040122,AWND,39
337,USW00014765,20040122,FMTM,1337
338,USW00014765,20040122,PGTM,2344
339,USW00014765,20040122,TAVG,-39
340,USW00014765,20040122,WDF2,240
341,USW00014765,20040122,WDF5,300
342,USW00014765,20040122,WESD,0
343,USW00014765,20040122,WSF2,94
344,USW00014765,20040122,WSF5,125
345,USW00014765,20040122,WT18,1
346,USW00014765,20040123,TMAX,-56
347,USW00014765,20040123,TMIN,-117
348,USW00014765,20040123,PRCP,0
349,USW00014765,20040123,SNOW,0
350,USW00014765,20040123,SNWD,25
351,USW00014765,20040123,AWND,61
352,USW00014765,20040123,FMTM,1315
353,USW00014765,20040123,PGTM,1314
354,USW00014765,20040123,TAVG,-83
355,USW00014765,20040123,WDF2,300
356,USW00014765,20040123,WDF5,290
357,USW00014765,20040123,WESD,0
358,USW00014765,20040123,WSF2,125
359,USW00014765,20040123,WSF5,165
360,USW00014765,20040124,TMAX,-67
361,USW00014765,20040124,TMIN,-150
362,USW00014765,20040124,PRCP,0
363,USW00014765,20040124,SNOW,0
364,USW00014765,20040124,SNWD,25
365,USW00014765,20040124,AWND,56
366,USW00014765,20040124,FMTM,1614
367,USW00014765,20040124,PGTM,1543
368,USW00014765,20040124,TAVG,-106
369,USW00014765,20040124,WDF2,300
370,USW00014765,20040124,WDF5,310
371,USW00014765,20040124,WESD,0
372,USW00014765,20040124,WSF2,94
373,USW00014765,20040124,WSF5,116
374,USW00014765,20040125,TMAX,-78
375,USW00014765,20040125,TMIN,-172
376,USW00014765,20040125,PRCP,0
377,USW00014765,20040125,SNOW,0
378,USW00014765,20040125,SNWD,25
379,USW00014765,20040125,AWND,41
380,USW00014765,20040125,FMTM,58
381,USW00014765,20040125,PGTM,58
382,USW00014765,20040125,TAVG,-122
383,USW00014765,20040125,WDF2,310
384,USW00014765,20040125,WDF5,310
385,USW00014765,20040125,WESD,0
386,USW00014765,20040125,WSF2,80
387,USW00014765,20040125,WSF5,103
388,USW00014765,20040126,TMAX,-61
389,USW00014765,20040126,TMIN,-133
390,USW00014765,20040126,PRCP,0
391,USW00014765,20040126,SNOW,0
392,USW00014765,20040126,SNWD,0
393,USW00014765,20040126,AWND,42
394,USW00014765,20040126,FMTM,1135
395,USW00014765,20040126,PGTM,1135
396,USW00014765,20040126,TAVG,-94
397,USW00014765,20040126,WDF2,50
398,USW00014765,20040126,WDF5,40
399,USW00014765,20040126,WESD,0
400,USW00014765,20040126,WSF2,76
401,USW00014765,20040126,WSF5,94
402,USW00014765,20040127,TMAX,-39
403,USW00014765,20040127,TMIN,-94
404,USW00014765,20040127,PRCP,0
405,USW00014765,20040127,SNOW,0
406,USW00014765,20040127,SNWD,0
407,USW00014765,20040127,AWND,40
408,USW00014765,20040127,FMTM,939
409,USW00014765,20040127,PGTM,325
410,USW00014765,20040127,TAVG,-67
411,USW00014765,20040127,WDF2,20
412,USW00014765,20040127,WDF5,30
413,USW00014765,20040127,WESD,0
414,USW00014765,20040127,WSF2,72
415,USW00014765,20040127,WSF5,80
416,USW00014765,20040127,WT18,1
417,USW00014765,20040128,TMAX,-22
418,USW00014765,20040128,TMIN,-72
419,USW00014765,20040128,PRCP,64
420,USW00014765,20040128,SNOW,99
421,USW00014765,20040128,SNWD,51
422,USW00014765,20040128,AWND,45
423,USW00014765,20040128,FMTM,2226
424,USW00014765,20040128,PGTM,2226
425,USW00014765,20040128,TAVG,-44
426,USW00014765,20040128,TSUN,0
427,USW00014765,20040128,WDF2,310
428,USW00014765,20040128,WDF5,310
429,USW00014765,20040128,WESD,0
430,USW00014765,20040128,WSF2,94
431,USW00014765,20040128,WSF5,116
432,USW00014765,20040128,WT01,1
433,USW00014765,20040128,WT13,1
434,USW00014765,20040128,WT18,1
435,USW00014765,20040128,WT22,1
436,USW00014765,20040129,TMAX,-28
437,USW00014765,20040129,TMIN,-83
438,USW00014765,20040129,PRCP,0
439,USW00014765,20040129,SNOW,0
440,USW00014765,20040129,SNWD,76
441,USW00014765,20040129,AWND,67
442,USW00014765,20040129,FMTM,1443
443,USW00014765,20040129,PGTM,945
444,USW00014765,20040129,TAVG,-56
445,USW00014765,20040129,WDF2,300
446,USW00014765,20040129,WDF5,290
447,USW00014765,20040129,WESD,0
448,USW00014765,20040129,WSF2,130
449,USW00014765,20040129,WSF5,170
450,USW00014765,20040129,WT09,1
451,USW00014765,20040129,WT18,1
452,USW00014765,20040130,TMAX,-33
453,USW00014765,20040130,TMIN,-111
454,USW00014765,20040130,PRCP,0
455,USW00014765,20040130,SNOW,0
456,USW00014765,20040130,SNWD,0
457,USW00014765,20040130,AWND,56
458,USW00014765,20040130,FMTM,1504
459,USW00014765,20040130,PGTM,1445
460,USW00014765,20040130,TAVG,-72
461,USW00014765,20040130,WDF2,270
462,USW00014765,20040130,WDF5,270
463,USW00014765,20040130,WESD,0
464,USW00014765,20040130,WSF2,98
465,USW00014765,20040130,WSF5,125
466,USW00014765,20040131,TMAX,-28
467,USW00014765,20040131,TMIN,-106
468,USW00014765,20040131,PRCP,0
469,USW00014765,20040131,SNOW,0
470,USW00014765,20040131,SNWD,0
471,USW00014765,20040131,AWND,54
472,USW00014765,20040131,FMTM,1634
473,USW00014765,20040131,PGTM,1516
474,USW00014765,20040131,TAVG,-67
475,USW00014765,20040131,TSUN,0
476,USW00014765,20040131,WDF2,300
477,USW00014765,20040131,WDF5,310
478,USW00014765,20040131,WESD,0
479,USW00014765,20040131,WSF2,103
480,USW00014765,20040131,WSF5,130
481,USW00014765,20040201,TMAX,6
482,USW00014765,20040201,TMIN,-111
483,USW00014765,20040201,PRCP,0
484,USW00014765,20040201,SNOW,0
485,USW00014765,20040201,SNWD,0
486,USW00014765,20040201,AWND,35
487,USW00014765,20040201,FMTM,1007
488,USW00014765,20040201,PGTM,1026
489,USW00014765,20040201,TAVG,-50
490,USW00014765,20040201,WDF2,330
491,USW00014765,20040201,WDF5,320
492,USW00014765,20040201,WESD,0
493,USW00014765,20040201,WSF2,89
494,USW00014765,20040201,WSF5,107
495,USW00014765,20040202,TMAX,33
496,USW00014765,20040202,TMIN,-83
497,USW00014765,20040202,PRCP,0
498,USW00014765,20040202,SNOW,0
499,USW00014765,20040202,SNWD,0
500,USW00014765,20040202,AWND,17
501,USW00014765,20040202,FMTM,1733
502,USW00014765,20040202,PGTM,435
503,USW00014765,20040202,TAVG,-22
504,USW00014765,20040202,WDF2,210
505,USW00014765,20040202,WDF5,360
506,USW00014765,20040202,WESD,0
507,USW00014765,20040202,WSF2,36
508,USW00014765,20040202,WSF5,54
509,USW00014765,20040202,WT01,1
510,USW00014765,20040202,WT13,1
511,USW00014765,20040203,TMAX,67
512,USW00014765,20040203,TMIN,-67
513,USW00014765,20040203,PRCP,163
514,USW00014765,20040203,SNOW,0
515,USW00014765,20040203,SNWD,0
516,USW00014765,20040203,AWND,33
517,USW00014765,20040203,FMTM,2234
518,USW00014765,20040203,PGTM,2239
519,USW00014765,20040203,TAVG,0
520,USW00014765,20040203,WDF2,160
521,USW00014765,20040203,WDF5,170
522,USW00014765,20040203,WESD,0
523,USW00014765,20040203,WSF2,139
524,USW00014765,20040203,WSF5,161
525,USW00014765,20040203,WT01,1
526,USW00014765,20040203,WT04,1
527,USW00014765,20040203,WT13,1
528,USW00014765,20040203,WT14,1
529,USW00014765,20040203,WT16,1
530,USW00014765,20040204,TMAX,72
531,USW00014765,20040204,TMIN,-17
532,USW00014765,20040204,PRCP,0
533,USW00014765,20040204,SNOW,0
534,USW00014765,20040204,SNWD,0
535,USW00014765,20040204,AWND,52
536,USW00014765,20040204,FMTM,1615
537,USW00014765,20040204,PGTM,1512
538,USW00014765,20040204,TAVG,28
539,USW00014765,20040204,WDF2,290
540,USW00014765,20040204,WDF5,300
541,USW00014765,20040204,WESD,0
542,USW00014765,20040204,WSF2,112
543,USW00014765,20040204,WSF5,143
544,USW00014765,20040204,WT14,1
545,USW00014765,20040204,WT16,1
546,USW00014765,20040205,TMAX,28
547,USW00014765,20040205,TMIN,-44
548,USW00014765,20040205,PRCP,0
549,USW00014765,20040205,SNOW,0
550,USW00014765,20040205,SNWD,0
551,USW00014765,20040205,AWND,40
552,USW00014765,20040205,FMTM,955
553,USW00014765,20040205,PGTM,952
554,USW00014765,20040205,TAVG,-6
555,USW00014765,20040205,WDF2,320
556,USW00014765,20040205,WDF5,300
557,USW00014765,20040205,WESD,0
558,USW00014765,20040205,WSF2,76
559,USW00014765,20040205,WSF5,103
560,USW00014765,20040206,TMAX,22
561,USW00014765,20040206,TMIN,-22
562,USW00014765,20040206,PRCP,323
563,USW00014765,20040206,SNOW,41
564,USW00014765,20040206,SNWD,0
565,USW00014765,20040206,AWND,24
566,USW00014765,20040206,FMTM,1227
567,USW00014765,20040206,PGTM,1227
568,USW00014765,20040206,TAVG,0
569,USW00014765,20040206,WDF2,140
570,USW00014765,20040206,WDF5,140
571,USW00014765,20040206,WESD,0
572,USW00014765,20040206,WSF2,63
573,USW00014765,20040206,WSF5,76
574,USW00014765,20040206,WT01,1
575,USW00014765,20040206,WT02,1
576,USW00014765,20040206,WT04,1
577,USW00014765,20040206,WT13,1
578,USW00014765,20040206,WT16,1
579,USW00014765,20040206,WT18,1
580,USW00014765,20040206,WT22,1
581,USW00014765,20040207,TMAX,72
582,USW00014765,20040207,TMIN,-22
583,USW00014765,20040207,PRCP,18
584,USW00014765,20040207,SNOW,0
585,USW00014765,20040207,SNWD,0
586,USW00014765,20040207,AWND,42
587,USW00014765,20040207,FMTM,2059
588,USW00014765,20040207,PGTM,2154
589,USW00014765,20040207,TAVG,28
590,USW00014765,20040207,WDF2,310
591,USW00014765,20040207,WDF5,320
592,USW00014765,20040207,WESD,0
593,USW00014765,20040207,WSF2,107
594,USW00014765,20040207,WSF5,134
595,USW00014765,20040207,WT01,1
596,USW00014765,20040207,WT13,1
597,USW00014765,20040207,WT16,1
598,USW00014765,20040208,TMAX,-22
599,USW00014765,20040208,TMIN,-78
600,USW00014765,20040208,PRCP,0
601,USW00014765,20040208,SNOW,0
602,USW00014765,20040208,SNWD,0
603,USW00014765,20040208,AWND,68
604,USW00014765,20040208,FMTM,1138
605,USW00014765,20040208,PGTM,1138
606,USW00014765,20040208,TAVG,-50
607,USW00014765,20040208,WDF2,320
608,USW00014765,20040208,WDF5,330
609,USW00014765,20040208,WESD,0
610,USW00014765,20040208,WSF2,134
611,USW00014765,20040208,WSF5,174
612,USW00014765,20040209,TMAX,56
613,USW00014765,20040209,TMIN,-39
614,USW00014765,20040209,PRCP,0
615,USW00014765,20040209,SNOW,0
616,USW00014765,20040209,SNWD,0
617,USW00014765,20040209,AWND,56
618,USW00014765,20040209,FMTM,1312
619,USW00014765,20040209,PGTM,1311
620,USW00014765,20040209,TAVG,11
621,USW00014765,20040209,WDF2,230
622,USW00014765,20040209,WDF5,240
623,USW00014765,20040209,WESD,0
624,USW00014765,20040209,WSF2,112
625,USW00014765,20040209,WSF5,148
626,USW00014765,20040210,TMAX,94
627,USW00014765,20040210,TMIN,17
628,USW00014765,20040210,PRCP,0
629,USW00014765,20040210,SNOW,0
630,USW00014765,20040210,SNWD,0
631,USW00014765,20040210,AWND,39
632,USW00014765,20040210,FMTM,1434
633,USW00014765,20040210,PGTM,1230
634,USW00014765,20040210,TAVG,56
635,USW00014765,20040210,WDF2,260
636,USW00014765,20040210,WDF5,270
637,USW00014765,20040210,WESD,0
638,USW00014765,20040210,WSF2,76
639,USW00014765,20040210,WSF5,107
640,USW00014765,20040211,TMAX,44
641,USW00014765,20040211,TMIN,-39
642,USW00014765,20040211,PRCP,0
643,USW00014765,20040211,SNOW,0
644,USW00014765,20040211,SNWD,0
645,USW00014765,20040211,AWND,46
646,USW00014765,20040211,FMTM,1643
647,USW00014765,20040211,PGTM,1636
648,USW00014765,20040211,TAVG,6
649,USW00014765,20040211,TSUN,0
650,USW00014765,20040211,WDF2,310
651,USW00014765,20040211,WDF5,310
652,USW00014765,20040211,WESD,0
653,USW00014765,20040211,WSF2,112
654,USW00014765,20040211,WSF5,143
655,USW00014765,20040212,TMAX,33
656,USW00014765,20040212,TMIN,-78
657,USW00014765,20040212,PRCP,0
658,USW00014765,20040212,SNOW,0
659,USW00014765,20040212,SNWD,0
660,USW00014765,20040212,AWND,28
661,USW00014765,20040212,FMTM,1531
662,USW00014765,20040212,PGTM,1530
663,USW00014765,20040212,TAVG,-22
664,USW00014765,20040212,TSUN,0
665,USW00014765,20040212,WDF2,270
666,USW00014765,20040212,WDF5,260
667,USW00014765,20040212,WESD,0
668,USW00014765,20040212,WSF2,72
669,USW00014765,20040212,WSF5,80
670,USW00014765,20040213,TMAX,61
671,USW00014765,20040213,TMIN,-22
672,USW00014765,20040213,PRCP,0
673,USW00014765,20040213,SNOW,0
674,USW00014765,20040213,SNWD,0
675,USW00014765,20040213,AWND,47
676,USW00014765,20040213,FMTM,1202
677,USW00014765,20040213,PGTM,1238
678,USW00014765,20040213,TAVG,22
679,USW00014765,20040213,WDF2,290
680,USW00014765,20040213,WDF5,280
681,USW00014765,20040213,WESD,0
682,USW00014765,20040213,WSF2,94
683,USW00014765,20040213,WSF5,112
684,USW00014765,20040214,TMAX,72
685,USW00014765,20040214,TMIN,-17
686,USW00014765,20040214,PRCP,0
687,USW00014765,20040214,SNOW,0
688,USW00014765,20040214,SNWD,0
689,USW00014765,20040214,AWND,42
690,USW00014765,20040214,FMTM,1329
691,USW00014765,20040214,PGTM,1328
692,USW00014765,20040214,TAVG,28
693,USW00014765,20040214,WDF2,280
694,USW00014765,20040214,WDF5,260
695,USW00014765,20040214,WESD,0
696,USW00014765,20040214,WSF2,80
697,USW00014765,20040214,WSF5,103
698,USW00014765,20040215,TMAX,-6
699,USW00014765,20040215,TMIN,-94
700,USW00014765,20040215,PRCP,0
701,USW00014765,20040215,SNOW,0
702,USW00014765,20040215,SNWD,0
703,USW00014765,20040215,AWND,49
704,USW00014765,20040215,FMTM,1132
705,USW00014765,20040215,PGTM,1211
706,USW00014765,20040215,TAVG,-50
707,USW00014765,20040215,WDF2,10
708,USW00014765,20040215,WDF5,10
709,USW00014765,20040215,WESD,0
710,USW00014765,20040215,WSF2,103
711,USW00014765,20040215,WSF5,116
712,USW00014765,20040215,WT18,1
713,USW00014765,20040216,TMAX,6
714,USW00014765,20040216,TMIN,-117
715,USW00014765,20040216,PRCP,0
716,USW00014765,20040216,SNOW,0
717,USW00014765,20040216,SNWD,0
718,USW00014765,20040216,AWND,35
719,USW00014765,20040216,FMTM,1429
720,USW00014765,20040216,PGTM,1428
721,USW00014765,20040216,TAVG,-56
722,USW00014765,20040216,WDF2,360
723,USW00014765,20040216,WDF5,360
724,USW00014765,20040216,WESD,0
725,USW00014765,20040216,WSF2,63
726,USW00014765,20040216,WSF5,89
727,USW00014765,20040217,TMAX,11
728,USW00014765,20040217,TMIN,-94
729,USW00014765,20040217,PRCP,0
730,USW00014765,20040217,SNOW,0
731,USW00014765,20040217,SNWD,0
732,USW00014765,20040217,AWND,30
733,USW00014765,20040217,FMTM,142
734,USW00014765,20040217,PGTM,142
